# Grégoire Montavon, Technische Universität Berlin
# datestring citations hindex i10index
2013-12-31 53 none none
2014-12-31 130 none none
2015-12-31 278 none none
2016-12-31 520 none none
2017-12-31 1056 none none
2018-12-31 2102 none none
2019-12-31 3924 none none
2020-09-19 5682 24 35
2020-09-21 5682 24 35
2020-09-23 5695 24 34
2020-09-25 5703 24 33
2020-09-27 5744 24 33
2020-09-29 5780 24 34
2020-10-01 5780 24 34
2020-10-03 5804 24 34
2020-10-05 5804 24 34
2020-10-07 5841 24 35
2020-10-09 5847 24 35
2020-10-11 5857 24 34
2020-10-13 5887 24 35
2020-10-15 5890 24 35
2020-10-17 5928 24 35
2020-10-19 5928 24 35
2020-10-21 5957 24 35
2020-10-23 5962 24 35
2020-10-25 5991 24 35
2020-10-27 6027 24 35
2020-10-29 6027 24 35
2020-10-31 6057 24 36
2020-11-01 6057 24 36
2020-11-03 6092 24 36
2020-11-05 6105 24 36
2020-11-07 6123 24 36
2020-11-09 6123 24 36
2020-11-11 6172 24 36
2020-11-13 6173 24 36
2020-11-15 6204 24 36
2020-11-17 6248 24 36
2020-11-19 6248 24 36
2020-11-21 6240 24 36
2020-11-23 6294 24 36
2020-11-25 6304 24 35
2020-11-27 6324 24 36
2020-11-29 6347 24 36
2020-12-01 6360 24 35
2020-12-03 6360 24 35
2020-12-05 6367 24 36
2020-12-07 6417 24 36
2020-12-09 6451 24 36
2020-12-11 6464 24 36
2020-12-13 6506 24 36
2020-12-15 6516 24 36
2020-12-17 6516 24 36
2020-12-19 6564 24 36
2020-12-21 6564 24 36
2020-12-23 6603 24 36
2020-12-25 6618 24 36
2020-12-27 6648 24 36
2020-12-29 6670 24 36
2020-12-31 6651 24 36
2021-01-01 6651 24 36
2021-01-03 6691 24 36
2021-01-05 6691 24 36
2021-01-07 6714 24 36
2021-01-09 6754 24 36
2021-01-11 6754 24 36
2021-01-13 6766 24 36
2021-01-15 6771 24 36
2021-01-17 6777 24 36
2021-01-19 6777 24 36
2021-01-21 6777 24 36
2021-01-23 6777 24 36
2021-01-25 6866 24 36
2021-01-27 6907 24 36
2021-01-29 6909 24 36
2021-01-31 6929 24 36
2021-02-01 6957 24 36
2021-02-03 6957 24 36
2021-02-05 6965 24 36
2021-02-07 6987 24 36
2021-02-09 6987 24 36
2021-02-11 7020 25 36
2021-02-13 7056 25 36
2021-02-15 7071 25 36
2021-02-17 7081 25 36
2021-02-19 7085 25 36
2021-02-23 7120 25 36
2021-02-25 7143 25 36
2021-02-27 7180 26 36
2021-03-01 7180 26 36
2021-03-03 7206 26 36
2021-03-05 7212 26 36
2021-03-07 7242 26 36
2021-03-09 7292 26 37
2021-03-11 7292 26 37
2021-03-13 7338 26 37
2021-03-15 7338 26 37
2021-03-17 7376 26 37
2021-03-19 7383 26 37
2021-03-21 7400 26 37
2021-03-23 7447 27 37
2021-03-25 7447 27 37
2021-03-27 7479 27 38
2021-03-29 7479 27 38
2021-03-31 7522 27 38
2021-04-01 7522 27 38
2021-04-03 7548 27 38
2021-04-05 7548 27 38
2021-04-07 7642 27 39
2021-04-09 7650 27 39
2021-04-11 7673 27 39
2021-04-13 7696 27 39
2021-04-15 7702 27 39
2021-04-17 7730 27 39
2021-04-19 7730 27 39
2021-04-21 7765 27 40
2021-04-23 7777 27 40
2021-04-25 7821 28 40
2021-04-27 7837 28 40
2021-04-29 7837 28 40
2021-05-01 7842 28 40
2021-05-03 7870 28 40
2021-05-05 7882 28 40
2021-05-07 7915 28 40
2021-05-09 7924 28 40
2021-05-13 7958 28 40
2021-05-15 7973 28 40
2021-05-17 7973 28 40
2021-05-19 8002 28 40
2021-05-21 7984 28 40
2021-05-23 8022 28 40
2021-05-25 8022 28 40
2021-05-27 8070 28 40
2021-05-29 8094 28 40
2021-05-31 8139 28 40
2021-06-01 8139 28 40
2021-06-03 8178 28 40
2021-06-05 8208 28 40
2021-06-07 8208 28 40
2021-06-09 8230 28 40
2021-06-11 8244 28 40
2021-06-13 8262 28 40
2021-06-15 8303 28 40
2021-06-17 8315 28 40
2021-06-19 8315 28 40
2021-06-21 8339 28 40
2021-06-23 8412 28 40
2021-06-25 8420 28 40
2021-06-27 8420 28 40
2021-06-29 8420 28 40
2021-07-01 8454 29 40
2021-07-03 8491 29 40
2021-07-05 8524 29 40
2021-07-07 8531 29 40
2021-07-09 8561 29 40
2021-07-11 8570 29 40
2021-07-13 8570 29 40
2021-07-15 8589 29 40
2021-07-17 8611 29 40
2021-07-19 8611 29 40
2021-07-21 8645 29 40
2021-07-23 8653 29 40
2021-07-25 8680 29 40
2021-07-27 8729 29 40
2021-07-29 8729 29 40
2021-07-31 8735 29 40
2021-08-01 8765 29 40
2021-08-03 8784 29 40
2021-08-05 8784 29 40
2021-08-07 8794 29 40
2021-08-09 8827 29 40
2021-08-11 8859 29 40
2021-08-13 8868 29 40
2021-08-15 8890 29 40
2021-08-17 8945 29 40
2021-08-21 8995 29 40
2021-08-23 8995 29 40
2021-08-27 9011 29 40
2021-08-29 9045 29 40
2021-08-31 9074 29 40
2021-09-01 9074 29 40
2021-09-03 9076 29 40
2021-09-05 9127 29 40
2021-09-07 9161 29 40
2021-09-09 9161 29 40
2021-09-11 9173 29 40
2021-09-13 9198 29 40
2021-09-15 9262 29 40
2021-09-17 9278 29 40
2021-09-19 9300 29 40
2021-09-25 9343 29 40
2021-09-27 9372 29 40
2021-09-29 9418 29 40
2021-10-01 9430 30 40
2021-10-03 9464 30 40
2021-10-05 9464 30 40
2021-10-07 9489 29 40
2021-10-09 9500 30 40
2021-10-11 9546 30 40
2021-10-13 9562 30 40
2021-10-15 9585 30 40
2021-10-17 9585 30 40
2021-10-19 9618 30 40
2021-10-21 9654 30 40
2021-10-23 9674 30 40
2021-10-25 9691 30 41
2021-10-27 9728 30 41
2021-10-29 9741 30 41
2021-10-31 9748 30 41
2021-11-01 9748 30 41
2021-11-03 9778 30 41
2021-11-05 9809 30 41
2021-11-07 9834 30 41
2021-11-09 9834 30 41
2021-11-11 9869 30 41
2021-11-13 9896 30 41
2021-11-15 9896 30 41
2021-11-17 9953 30 41
2021-11-19 9965 30 41
2021-11-21 10018 30 41
2021-11-23 10043 30 42
2021-11-25 10053 30 42
2021-11-27 10075 30 42
2021-11-29 10075 30 42
2021-12-01 10104 30 42
2021-12-03 10121 30 42
2021-12-05 10157 31 42
2021-12-07 10202 31 42
2021-12-09 10215 31 42
2021-12-11 10245 31 42
2021-12-13 10245 31 42
2021-12-15 10270 31 42
2021-12-17 10292 31 42
2021-12-19 10323 31 42
2021-12-21 10374 31 43
2021-12-23 10374 31 43
2021-12-25 10425 31 43
2021-12-27 10425 31 43
2021-12-29 10469 31 43
2021-12-31 10481 31 43
2022-01-01 10489 31 43
2022-01-03 10489 31 43
2022-01-05 10550 31 43
2022-01-07 10549 31 43
2022-01-09 10589 31 43
2022-01-11 10604 31 43
2022-01-13 10605 31 43
2022-01-15 10593 31 43
2022-01-17 10593 31 43
2022-01-19 10664 31 43
2022-01-21 10655 31 43
2022-01-23 10679 31 43
2022-01-25 10734 31 43
2022-01-27 10728 31 43
