# Luis Oala, Fraunhofer HHI
# datestring citations hindex i10index
2021-06-17 12 2 0
2021-06-19 12 2 0
2021-06-21 12 2 0
2021-06-23 12 2 0
2021-06-25 12 2 0
2021-06-27 12 2 0
2021-06-29 12 2 0
2021-07-01 12 2 0
2021-07-03 12 2 0
2021-07-05 12 2 0
2021-07-07 12 2 0
2021-07-09 12 2 0
2021-07-11 13 2 0
2021-07-13 13 2 0
2021-07-15 13 2 0
2021-07-17 13 2 0
2021-07-19 16 2 0
2021-07-21 16 2 0
2021-07-23 16 2 0
2021-07-25 16 2 0
2021-07-27 17 2 0
2021-07-29 17 2 0
2021-07-31 17 2 0
2021-08-01 20 3 0
2021-08-03 20 3 0
2021-08-05 20 3 0
2021-08-07 20 3 0
2021-08-09 20 3 0
2021-08-11 20 3 0
2021-08-13 20 3 0
2021-08-15 20 3 0
2021-08-17 20 3 0
2021-08-21 20 3 0
2021-08-23 20 3 0
2021-08-27 22 3 0
2021-08-29 22 3 0
2021-08-31 22 3 0
2021-09-01 22 3 0
2021-09-03 22 3 0
2021-09-05 22 3 0
2021-09-07 22 3 0
2021-09-09 23 3 1
2021-09-11 23 3 1
2021-09-13 24 3 1
2021-09-15 24 3 1
2021-09-17 24 3 1
2021-09-19 24 3 1
2021-09-21 24 3 1
2021-09-23 25 3 1
2021-09-25 25 3 1
2021-09-27 25 3 1
2021-09-29 25 3 1
2021-10-01 25 3 1
2021-10-03 25 3 1
2021-10-05 25 3 1
2021-10-07 25 3 1
2021-10-09 25 3 1
2021-10-11 25 3 1
2021-10-13 25 3 1
2021-10-15 25 3 1
2021-10-17 25 3 1
2021-10-19 25 3 1
2021-10-21 25 3 1
2021-10-23 25 3 1
2021-10-25 25 3 1
2021-10-27 25 3 1
2021-10-29 25 3 1
2021-10-31 25 3 1
2021-11-01 25 3 1
2021-11-03 25 3 1
2021-11-05 31 3 1
2021-11-07 31 3 1
2021-11-09 31 3 1
2021-11-11 31 3 1
2021-11-13 32 3 1
2021-11-15 32 3 1
2021-11-17 32 3 1
2021-11-19 32 3 1
2021-11-21 32 3 1
2021-11-23 32 3 1
2021-11-25 32 3 1
2021-11-27 34 3 1
2021-11-29 34 3 1
2021-12-01 34 3 1
2021-12-03 34 3 1
2021-12-05 34 3 1
2021-12-07 35 3 1
2021-12-09 35 3 1
2021-12-11 35 3 1
2021-12-13 35 3 1
2021-12-15 34 3 1
2021-12-17 34 3 1
2021-12-19 35 3 1
2021-12-21 35 3 1
2021-12-23 35 3 1
2021-12-25 35 3 1
2021-12-27 35 3 1
2021-12-29 35 3 1
2021-12-31 35 3 1
2022-01-01 35 3 1
2022-01-03 35 3 1
2022-01-05 35 3 1
2022-01-07 35 3 1
2022-01-09 35 3 1
2022-01-11 34 3 1
2022-01-13 34 3 1
2022-01-15 31 3 1
2022-01-17 31 3 1
2022-01-19 36 4 1
2022-01-21 36 4 1
2022-01-23 37 4 1
2022-01-25 37 4 1
2022-01-27 37 4 1
2022-01-29 38 4 1
2022-01-31 38 4 1
2022-02-01 38 4 1
2022-02-03 38 4 1
2022-02-05 40 4 1
2022-02-07 40 4 1
2022-02-09 40 4 1
2022-02-11 40 4 1
2022-02-13 41 4 1
2022-02-15 41 4 1
2022-02-17 41 4 1
2022-02-19 41 4 1
2022-02-21 41 4 1
2022-02-23 41 4 1
2022-02-25 42 4 1
2022-02-27 42 4 1
2022-03-01 42 4 1
2022-03-03 42 4 1
2022-03-05 44 4 1
2022-03-07 44 4 1
2022-03-09 45 4 1
2022-03-11 45 4 1
2022-03-13 45 4 1
2022-03-15 46 4 1
2022-03-17 46 4 1
2022-03-19 47 4 1
2022-03-21 47 4 1
2022-03-23 47 4 1
2022-03-25 47 4 1
2022-03-27 47 4 1
2022-03-29 47 4 1
2022-03-31 47 4 1
2022-04-01 47 4 1
2022-04-03 47 4 1
2022-04-05 48 4 2
2022-04-07 49 4 2
2022-04-09 50 4 2
2022-04-11 50 4 2
2022-04-13 50 4 2
2022-04-15 50 4 2
2022-04-17 50 4 2
2022-04-19 50 4 2
2022-04-21 50 4 2
2022-04-23 50 4 2
2022-04-25 50 4 2
2022-04-27 50 4 2
2022-04-29 49 4 2
2022-05-01 49 4 2
2022-05-03 50 4 2
2022-05-05 50 4 2
2022-05-07 51 4 2
2022-05-09 51 4 2
2022-05-11 50 4 3
2022-05-13 50 4 3
2022-05-15 51 4 3
2022-05-17 51 4 3
2022-05-19 51 4 3
2022-05-21 51 4 3
2022-05-23 51 4 3
2022-05-25 52 4 3
2022-05-27 52 4 3
