# Christopher J. Anders, Machine Learning Group, Technische Universität Berlin
# datestring citations hindex i10index
2019-12-31 13 none none
2020-09-17 50 3 2
2020-09-19 51 3 2
2020-09-21 51 3 2
2020-09-23 51 3 1
2020-09-25 51 3 1
2020-09-27 54 3 1
2020-09-29 56 3 1
2020-10-01 56 3 1
2020-10-03 59 4 2
2020-10-05 59 4 2
2020-10-07 62 4 2
2020-10-09 62 4 2
2020-10-11 63 4 2
2020-10-13 64 4 2
2020-10-15 64 4 2
2020-10-17 66 4 2
2020-10-19 66 4 2
2020-10-21 67 4 2
2020-10-23 67 4 2
2020-10-25 67 4 2
2020-10-27 67 4 2
2020-10-29 67 4 2
2020-10-31 69 4 3
2020-11-01 69 4 3
2020-11-03 69 4 3
2020-11-05 70 4 3
2020-11-07 70 4 3
2020-11-09 70 4 3
2020-11-11 72 4 3
2020-11-13 72 4 3
2020-11-15 74 4 3
2020-11-17 76 4 3
2020-11-19 76 4 3
2020-11-21 76 4 3
2020-11-23 78 4 3
2020-11-25 78 4 3
2020-11-27 78 4 3
2020-11-29 79 4 3
2020-12-01 79 4 3
2020-12-03 79 4 3
2020-12-05 79 4 3
2020-12-07 79 4 3
2020-12-09 80 4 3
2020-12-11 80 4 3
2020-12-13 80 4 3
2020-12-15 80 4 3
2020-12-17 80 4 3
2020-12-19 80 4 3
2020-12-21 80 4 3
2020-12-23 80 4 3
2020-12-25 84 4 3
2020-12-27 84 4 3
2020-12-29 85 4 3
2020-12-31 83 4 3
2021-01-01 83 4 3
2021-01-03 86 4 3
2021-01-05 86 4 3
2021-01-07 88 4 3
2021-01-09 88 4 3
2021-01-11 88 4 3
2021-01-13 88 4 3
2021-01-15 89 4 3
2021-01-17 88 4 3
2021-01-19 88 4 3
2021-01-21 88 4 3
2021-01-23 88 4 3
2021-01-25 96 4 3
2021-01-27 98 4 3
2021-01-29 98 4 3
2021-01-31 98 4 3
2021-02-01 99 4 3
2021-02-03 99 4 3
2021-02-05 99 4 3
2021-02-07 99 4 3
2021-02-09 99 4 3
2021-02-11 99 4 3
2021-02-13 101 4 3
2021-02-15 102 4 3
2021-02-17 102 4 3
2021-02-19 102 4 3
2021-02-23 103 4 3
2021-02-25 103 4 3
2021-02-27 108 4 3
2021-03-01 108 4 3
2021-03-03 112 4 3
2021-03-05 114 4 3
2021-03-07 115 4 3
2021-03-09 121 5 3
2021-03-11 121 5 3
2021-03-13 121 5 3
2021-03-15 121 5 3
2021-03-17 124 5 3
2021-03-19 124 5 3
2021-03-21 125 5 3
2021-03-23 126 5 3
2021-03-25 126 5 3
2021-03-27 126 5 3
2021-03-29 129 5 3
2021-03-31 132 5 3
2021-04-01 132 5 3
2021-04-03 133 5 3
2021-04-05 133 5 3
2021-04-07 140 5 3
2021-04-09 140 5 3
2021-04-11 142 5 3
2021-04-13 142 5 3
2021-04-15 143 5 3
2021-04-17 143 5 3
2021-04-19 147 5 3
2021-04-21 150 5 3
2021-04-23 150 5 3
2021-04-25 152 5 3
2021-04-27 153 5 3
2021-04-29 153 5 3
2021-05-01 153 5 3
2021-05-03 156 5 3
2021-05-05 156 5 3
2021-05-07 156 5 3
2021-05-09 156 5 3
2021-05-13 157 5 3
2021-05-15 156 5 3
2021-05-17 156 5 3
2021-05-19 156 5 3
2021-05-21 155 5 3
2021-05-23 157 6 3
2021-05-25 161 6 3
2021-05-27 161 6 3
2021-05-29 162 6 3
2021-05-31 165 6 3
2021-06-01 169 6 3
2021-06-03 170 6 3
2021-06-05 171 6 3
2021-06-07 171 6 3
2021-06-09 174 6 3
2021-06-11 174 6 3
2021-06-13 178 7 3
2021-06-15 179 7 4
2021-06-17 179 7 4
2021-06-19 188 7 4
2021-06-21 188 7 4
2021-06-23 194 7 4
2021-06-25 196 7 5
2021-06-27 196 7 5
2021-06-29 196 7 5
2021-07-01 205 7 5
2021-07-03 207 7 5
2021-07-05 207 7 5
2021-07-07 207 7 5
2021-07-09 209 7 5
2021-07-11 209 7 5
2021-07-13 209 7 5
2021-07-15 209 7 5
2021-07-17 209 7 5
2021-07-19 209 7 5
2021-07-21 209 7 5
2021-07-23 209 7 5
2021-07-25 211 7 5
2021-07-27 212 7 5
2021-07-29 212 7 5
2021-07-31 212 7 5
2021-08-01 213 7 5
2021-08-03 213 7 5
2021-08-05 213 7 5
2021-08-07 213 7 5
2021-08-09 217 7 5
2021-08-11 217 7 5
2021-08-13 217 7 5
2021-08-15 219 7 5
2021-08-17 228 7 5
2021-08-21 233 7 5
2021-08-23 233 7 5
2021-08-27 234 7 5
2021-08-29 238 7 5
2021-08-31 239 7 5
2021-09-01 239 7 5
2021-09-03 241 7 5
2021-09-05 244 7 5
2021-09-07 244 7 5
2021-09-09 244 7 5
2021-09-11 246 7 5
2021-09-13 246 7 5
2021-09-15 254 7 5
2021-09-17 254 7 5
2021-09-19 255 7 5
2021-09-25 256 7 5
2021-09-27 257 7 5
2021-09-29 262 7 5
2021-10-01 264 7 5
2021-10-03 267 7 5
2021-10-05 267 7 5
2021-10-07 272 7 5
2021-10-09 272 7 5
2021-10-11 276 7 6
2021-10-13 281 7 6
2021-10-15 283 7 6
2021-10-17 287 7 6
2021-10-19 287 7 6
2021-10-21 288 7 6
2021-10-23 290 7 6
2021-10-25 290 7 6
2021-10-27 291 7 6
2021-10-29 293 7 6
2021-10-31 294 7 6
2021-11-01 294 7 6
2021-11-03 294 7 6
2021-11-05 296 7 6
2021-11-07 298 7 6
2021-11-09 298 7 6
2021-11-11 301 7 6
