# Naja Hulvej Rod, University of Copenhagen
# datestring citations hindex i10index
2007-12-31 30 none none
2008-12-31 86 none none
2009-12-31 157 none none
2010-12-31 233 none none
2011-12-31 305 none none
2012-12-31 438 none none
2013-12-31 585 none none
2014-12-31 835 none none
2015-12-31 1112 none none
2016-12-31 1455 none none
2017-12-31 1825 none none
2018-12-31 2337 none none
2019-12-31 2886 none none
2020-12-31 3606 none none
2021-12-31 4527 none none
2022-12-03 5619 41 112
2022-12-05 5619 41 112
2022-12-07 5629 41 112
2022-12-09 5629 41 112
2022-12-11 5639 41 112
2022-12-13 5639 41 112
2022-12-15 5645 41 112
2022-12-17 5656 41 112
2022-12-19 5656 41 112
2022-12-21 5671 41 112
2022-12-23 5673 41 112
2022-12-25 5685 41 112
2022-12-27 5697 41 112
2022-12-29 5697 41 112
2022-12-31 5698 41 112
2023-01-01 5698 41 112
2023-01-03 5712 41 112
2023-01-05 5711 41 112
2023-01-07 5714 41 112
2023-01-09 5714 41 112
2023-01-11 5718 41 112
2023-01-13 5722 41 112
2023-01-15 5725 41 112
2023-01-17 5738 41 112
2023-01-19 5745 41 112
2023-01-21 5745 41 112
2023-01-23 5751 41 112
2023-01-25 5751 41 112
2023-01-27 5790 41 114
2023-01-29 5798 41 114
2023-01-31 5808 41 115
2023-02-01 5808 41 115
2023-02-03 5810 41 115
2023-02-05 5815 41 115
2023-02-07 5827 41 115
2023-02-09 5831 41 116
2023-02-11 5839 41 116
2023-02-13 5839 41 116
2023-02-15 5856 41 116
2023-02-17 5860 41 116
2023-02-19 5866 41 117
2023-02-21 5870 41 117
2023-02-23 5880 41 117
2023-02-25 5887 41 117
2023-02-27 5887 41 117
2023-03-01 5900 41 117
2023-03-03 5905 41 117
2023-03-05 5915 41 117
2023-03-07 5928 41 117
2023-03-09 5928 41 117
2023-03-11 5941 41 117
2023-03-13 5941 41 117
2023-03-15 5953 42 117
2023-03-17 5955 42 117
2023-03-19 5964 42 117
2023-03-21 5974 42 117
2023-03-23 5980 42 117
2023-03-25 5988 42 117
2023-03-27 5988 42 117
2023-03-29 5994 42 118
2023-03-31 5996 42 118
2023-04-01 5999 42 118
2023-04-03 5999 42 118
2023-04-05 6016 42 118
2023-04-07 6018 42 118
2023-04-09 6022 42 118
2023-04-11 6026 41 118
2023-04-13 6036 42 118
2023-04-15 6058 42 118
2023-04-17 6058 42 118
2023-04-19 6067 42 118
2023-04-21 6075 42 118
2023-04-23 6088 42 118
2023-04-27 6099 42 118
2023-04-29 6099 42 118
2023-05-01 6107 42 118
2023-05-03 6113 42 118
2023-05-05 6120 42 118
2023-05-07 6129 42 118
2023-05-09 6129 42 118
2023-05-11 6145 42 118
2023-05-13 6156 42 119
2023-05-15 6156 42 119
2023-05-17 6168 42 119
2023-05-19 6170 42 119
2023-05-21 6178 42 119
2023-05-23 6187 42 119
2023-05-25 6190 42 119
2023-05-27 6202 43 119
2023-05-29 6202 43 119
2023-05-31 6219 43 120
2023-06-01 6226 43 120
2023-06-03 6232 43 120
2023-06-05 6232 43 120
2023-06-07 6243 43 120
2023-06-09 6259 43 120
2023-06-11 6259 43 120
2023-06-13 6269 43 120
2023-06-15 6284 43 120
2023-06-17 6290 43 120
2023-06-19 6290 43 120
2023-06-21 6307 43 120
2023-06-23 6318 43 121
