# Pieter-Jan Kindermans, Senior Research Scientist, Google Brain
# datestring citations hindex i10index
2013-12-31 30 none none
2014-12-31 101 none none
2015-12-31 179 none none
2016-12-31 299 none none
2017-12-31 523 none none
2018-12-31 1040 none none
2019-12-31 1881 none none
2020-09-19 2805 20 27
2020-09-21 2805 20 27
2020-09-23 2813 20 27
2020-09-25 2812 20 27
2020-09-27 2825 20 27
2020-09-29 2825 20 27
2020-10-01 2836 20 27
2020-10-03 2836 20 27
2020-10-05 2854 20 27
2020-10-07 2867 20 27
2020-10-09 2868 20 27
2020-10-11 2877 20 27
2020-10-13 2886 20 27
2020-10-15 2886 20 27
2020-10-17 2913 20 27
2020-10-19 2913 20 27
2020-10-21 2934 20 27
2020-10-23 2938 20 27
2020-10-25 2953 20 27
2020-10-27 2961 20 27
2020-10-29 2961 20 27
2020-10-31 2981 20 27
2020-11-01 2981 20 27
2020-11-03 2996 20 27
2020-11-05 3004 20 27
2020-11-07 3017 20 27
2020-11-09 3017 20 27
2020-11-11 3053 20 29
2020-11-13 3050 20 29
2020-11-15 3060 20 29
2020-11-17 3077 20 30
2020-11-19 3077 20 30
2020-11-21 3076 20 30
2020-11-23 3100 20 30
2020-11-25 3114 20 30
2020-11-27 3116 20 30
2020-11-29 3139 20 30
2020-12-01 3152 20 30
2020-12-03 3152 20 30
2020-12-05 3172 20 30
2020-12-07 3172 20 30
2020-12-09 3196 20 30
2020-12-11 3202 20 30
2020-12-13 3211 20 30
2020-12-15 3211 20 30
2020-12-17 3226 20 30
2020-12-19 3249 20 30
2020-12-21 3249 20 30
2020-12-23 3273 21 30
2020-12-25 3278 21 30
2020-12-27 3286 21 30
2020-12-29 3305 21 30
2020-12-31 3300 20 30
2021-01-01 3300 20 30
2021-01-03 3313 20 30
2021-01-05 3313 20 30
2021-01-07 3336 20 30
2021-01-09 3348 20 30
2021-01-11 3348 20 30
2021-01-13 3348 20 30
2021-01-15 3355 20 30
2021-01-17 3363 20 30
2021-01-19 3363 20 30
2021-01-21 3363 20 30
2021-01-23 3363 20 30
2021-01-25 3408 21 30
2021-01-27 3433 21 30
2021-01-29 3434 21 30
2021-01-31 3447 21 30
2021-02-01 3465 21 30
2021-02-03 3465 21 30
2021-02-05 3468 21 30
2021-02-07 3475 21 30
2021-02-09 3475 21 30
2021-02-11 3485 21 30
2021-02-13 3500 21 30
2021-02-15 3505 21 30
2021-02-17 3510 21 30
2021-02-19 3510 21 30
2021-02-23 3526 21 30
2021-02-25 3538 21 30
2021-02-27 3547 21 30
2021-03-01 3554 22 30
2021-03-03 3564 22 30
2021-03-05 3566 22 30
2021-03-07 3589 22 30
2021-03-09 3607 22 30
2021-03-11 3607 22 30
2021-03-13 3615 22 30
2021-03-15 3615 22 30
2021-03-17 3631 22 30
2021-03-19 3632 22 30
2021-03-21 3642 22 30
2021-03-23 3670 22 30
2021-03-25 3670 22 30
2021-03-27 3671 22 30
2021-03-29 3698 23 30
2021-03-31 3719 23 30
2021-04-01 3721 23 30
2021-04-03 3733 23 30
2021-04-05 3733 23 30
2021-04-07 3774 23 32
2021-04-09 3778 23 32
2021-04-11 3783 23 32
2021-04-13 3797 23 32
2021-04-15 3800 23 32
2021-04-17 3800 23 32
2021-04-19 3807 23 32
2021-04-21 3823 23 32
2021-04-23 3826 23 32
2021-04-25 3844 23 32
2021-04-27 3856 23 32
2021-04-29 3856 23 32
2021-05-01 3859 23 32
2021-05-03 3873 23 32
2021-05-05 3883 23 32
2021-05-07 3892 23 32
2021-05-09 3896 23 32
2021-05-13 3911 23 32
2021-05-15 3918 23 32
2021-05-17 3918 23 32
2021-05-19 3932 23 32
2021-05-21 3927 23 32
2021-05-23 3932 23 32
2021-05-25 3960 23 32
2021-05-27 3960 23 32
2021-05-29 3968 23 32
2021-05-31 3981 23 32
2021-06-01 3981 23 32
2021-06-03 4002 23 32
2021-06-05 4019 23 32
2021-06-07 4019 23 32
2021-06-09 4028 23 32
2021-06-11 4034 23 32
2021-06-13 4051 23 32
2021-06-15 4068 23 33
2021-06-17 4075 23 33
2021-06-19 4075 23 33
2021-06-21 4102 23 33
2021-06-23 4172 23 33
2021-06-25 4175 23 33
2021-06-27 4175 23 33
2021-06-29 4175 23 33
2021-07-01 4189 23 33
2021-07-03 4199 23 33
2021-07-05 4220 23 33
2021-07-07 4221 23 33
2021-07-09 4234 23 33
2021-07-11 4239 23 33
2021-07-13 4239 23 33
2021-07-15 4248 23 33
2021-07-17 4266 23 33
2021-07-19 4266 23 33
2021-07-21 4288 23 33
