# Djordje Slijepcevic, Researcher, Institute of Creative\Media/Technologies, St. Pölten University of Applied
# datestring citations hindex i10index
2017-12-31 3 none none
2018-12-31 6 none none
2019-12-31 31 none none
2020-09-19 54 4 2
2020-09-21 54 4 2
2020-09-23 55 4 2
2020-09-25 55 4 2
2020-09-27 59 4 2
2020-09-29 59 4 2
2020-10-01 59 4 2
2020-10-03 59 4 2
2020-10-05 59 4 2
2020-10-07 59 4 2
2020-10-09 59 4 2
2020-10-11 59 4 2
2020-10-13 59 4 2
2020-10-15 59 4 2
2020-10-17 59 4 2
2020-10-19 59 4 2
2020-10-21 59 4 2
2020-10-23 59 4 2
2020-10-25 59 4 2
2020-10-27 60 4 2
2020-10-29 60 4 2
2020-10-31 61 4 2
2020-11-01 61 4 2
2020-11-03 61 4 2
2020-11-05 61 4 2
2020-11-07 61 4 2
2020-11-09 61 4 2
2020-11-11 61 4 2
2020-11-13 61 4 2
2020-11-15 61 4 2
2020-11-17 61 4 2
2020-11-19 61 4 2
2020-11-21 61 4 2
