# Sebastian Lapuschkin (né Bach), Postdoctoral Research Associate, Fraunhofer Heinrich Hertz Institute
# datestring citations hindex i10index
2015-12-31 8 none none
2016-12-31 116 none none
2017-12-31 359 none none
2018-12-31 874 none none
2019-07-11 1200 none none
2019-10-14 1542 none none
2019-10-29 1600 none none
2019-11-19 1720 none none
2019-12-05 1820 none none
2019-12-24 1909 none none
2020-01-20 2020 none none
2020-02-18 2102 none none
2020-03-20 2218 none none
2020-04-21 2307 none none
2020-05-12 2400 none none
2020-06-13 2500 none none
2020-06-13 2617 none none
2020-08-04 2811 none none
2020-08-26 2916 none none
2020-09-12 3009 none none
2020-09-17 3025 15 19
2020-09-19 3038 15 19
2020-09-21 3038 15 19
2020-09-23 3042 15 19
2020-09-25 3046 15 18
2020-09-27 3079 15 18
2020-09-29 3079 15 18
2020-10-01 3098 15 19
2020-10-03 3121 15 19
2020-10-05 3121 15 19
2020-10-07 3147 15 20
2020-10-09 3158 15 20
2020-10-11 3163 15 19
2020-10-13 3180 15 20
2020-10-15 3182 15 20
2020-10-17 3203 15 20
2020-10-19 3203 15 20
2020-10-21 3218 15 20
2020-10-23 3220 15 20
2020-10-25 3240 15 20
2020-10-27 3259 15 20
2020-10-29 3259 15 20
2020-10-31 3279 15 20
2020-11-01 3279 15 20
2020-11-03 3299 15 20
2020-11-05 3304 15 20
2020-11-07 3316 15 20
2020-11-09 3316 15 20
2020-11-11 3344 15 20
2020-11-13 3346 15 20
2020-11-15 3363 16 20
2020-11-17 3392 16 21
2020-11-19 3392 16 21
2020-11-21 3385 16 21
2020-11-23 3420 16 21
2020-11-25 3421 16 20
2020-11-27 3434 16 21
2020-11-29 3454 16 21
2020-12-01 3454 16 21
2020-12-03 3470 16 21
2020-12-05 3470 16 21
2020-12-07 3497 16 21
2020-12-09 3526 16 21
2020-12-11 3534 16 21
2020-12-13 3568 16 21
2020-12-15 3578 16 21
2020-12-17 3578 16 21
2020-12-19 3588 16 21
2020-12-21 3609 16 21
2020-12-23 3634 16 21
2020-12-25 3643 16 21
2020-12-27 3657 16 21
2020-12-29 3670 17 21
2020-12-31 3655 17 21
2021-01-01 3655 17 21
2021-01-03 3684 17 21
2021-01-05 3696 17 21
2021-01-07 3696 17 21
2021-01-09 3722 17 21
2021-01-11 3722 17 21
2021-01-13 3730 17 21
2021-01-15 3733 17 21
2021-01-17 3734 17 21
2021-01-19 3734 17 21
2021-01-21 3734 17 21
2021-01-23 3734 17 21
2021-01-25 3814 17 23
2021-01-27 3837 17 23
2021-01-29 3838 17 23
2021-01-31 3851 17 23
2021-02-01 3875 17 23
2021-02-03 3875 17 23
2021-02-05 3879 17 23
2021-02-07 3894 17 23
2021-02-09 3894 17 23
2021-02-11 3920 17 23
2021-02-13 3939 17 23
2021-02-15 3946 17 23
