# Vignesh Srinivasan, Fraunhofer HHI
# datestring citations hindex i10index
2015-12-31 1 none none
2016-12-31 3 none none
2017-12-31 8 none none
2018-12-31 18 none none
2019-12-31 56 none none
2020-09-17 114 5 3
2020-09-19 114 5 3
2020-09-21 114 5 3
2020-09-23 115 5 4
2020-09-25 115 5 4
2020-09-27 115 5 4
2020-09-29 117 5 4
2020-10-01 117 5 4
2020-10-03 116 5 4
2020-10-05 116 5 4
2020-10-07 117 5 4
2020-10-09 117 5 4
2020-10-11 116 5 4
2020-10-13 117 5 4
2020-10-15 117 5 4
2020-10-17 117 5 4
2020-10-19 117 5 4
2020-10-21 117 5 4
2020-10-23 117 5 4
2020-10-25 117 5 4
2020-10-27 117 5 4
2020-10-29 117 5 4
2020-10-31 121 5 4
2020-11-01 121 5 4
2020-11-03 121 5 4
2020-11-05 122 5 4
2020-11-07 123 5 4
2020-11-09 123 5 4
2020-11-11 126 6 4
2020-11-13 126 6 4
2020-11-15 128 6 4
2020-11-17 128 6 4
2020-11-19 128 6 4
2020-11-21 128 6 4
2020-11-23 129 6 4
2020-11-25 127 5 4
2020-11-27 129 6 4
2020-11-29 130 6 4
2020-12-01 129 5 4
2020-12-03 131 6 4
2020-12-05 131 6 4
2020-12-07 131 6 4
2020-12-09 133 6 4
2020-12-11 133 6 4
2020-12-13 134 6 4
2020-12-15 136 6 4
2020-12-17 136 6 4
2020-12-19 137 6 4
2020-12-21 137 6 4
2020-12-23 138 6 4
2020-12-25 138 6 4
2020-12-27 138 6 4
2020-12-29 139 6 4
2020-12-31 141 6 4
2021-01-01 141 6 4
2021-01-03 141 6 4
