# Sebastian Bosse, Fraunhofer HHI
# datestring citations hindex i10index
2010-12-31 15 none none
2011-12-31 45 none none
2012-12-31 131 none none
2013-12-31 223 none none
2014-12-31 337 none none
2015-12-31 487 none none
2016-12-31 686 none none
2017-12-31 919 none none
2018-12-31 1220 none none
2019-12-31 1678 none none
2020-09-17 1975 17 22
2020-09-19 1978 17 22
2020-09-21 1978 17 22
2020-09-23 1982 17 22
2020-09-25 1953 17 22
2020-09-27 1954 17 22
2020-09-29 1954 17 22
2020-10-01 1990 17 22
2020-10-03 1965 17 22
2020-10-05 1965 17 22
2020-10-07 2008 17 22
2020-10-09 2010 17 22
2020-10-11 1984 17 22
2020-10-13 2015 17 22
2020-10-15 2017 17 22
2020-10-17 2019 17 22
2020-10-19 2019 17 22
2020-10-21 2018 17 22
2020-10-23 2019 17 22
2020-10-25 2018 17 22
2020-10-27 2021 17 22
2020-10-29 2021 17 22
2020-10-31 2028 17 22
2020-11-01 2028 17 22
2020-11-03 2033 17 22
2020-11-05 2036 17 22
2020-11-07 2041 17 22
2020-11-09 2041 17 22
2020-11-11 2041 17 22
2020-11-13 2044 17 22
2020-11-15 2046 17 22
2020-11-17 2046 17 22
2020-11-19 2046 17 22
2020-11-21 2049 17 22
2020-11-23 2055 17 22
2020-11-25 2017 17 22
2020-11-27 2055 17 22
2020-11-29 2059 17 22
2020-12-01 2022 17 22
2020-12-03 2064 17 22
2020-12-05 2068 17 22
2020-12-07 2068 17 22
2020-12-09 2069 17 22
2020-12-11 2070 17 22
2020-12-13 2068 17 22
2020-12-15 2068 17 22
2020-12-17 2071 17 22
2020-12-19 2071 17 22
2020-12-21 2075 17 22
2020-12-23 2084 17 23
2020-12-25 2084 17 23
2020-12-27 2088 17 23
2020-12-29 2093 17 23
2020-12-31 2091 17 22
2021-01-01 2091 17 22
2021-01-03 2097 17 23
2021-01-05 2102 17 23
2021-01-07 2103 17 23
2021-01-09 2105 17 23
2021-01-11 2105 17 23
2021-01-13 2108 17 23
2021-01-15 2105 17 23
2021-01-17 2110 17 22
2021-01-19 2110 17 22
2021-01-21 2110 17 22
2021-01-23 2110 17 22
2021-01-25 2150 18 24
2021-01-27 2153 18 24
2021-01-29 2154 18 24
2021-01-31 2159 18 25
2021-02-01 2164 18 25
2021-02-03 2164 18 25
2021-02-05 2163 18 25
2021-02-07 2168 18 25
2021-02-09 2168 18 25
2021-02-11 2183 18 25
2021-02-13 2185 18 25
2021-02-15 2187 18 25
2021-02-17 2188 18 25
2021-02-19 2187 18 25
2021-02-23 2187 18 25
2021-02-25 2192 18 25
2021-02-27 2195 18 25
2021-03-01 2197 18 25
2021-03-03 2203 18 25
2021-03-05 2203 18 25
2021-03-07 2202 18 25
2021-03-09 2206 18 25
2021-03-11 2206 18 25
2021-03-13 2212 18 25
2021-03-15 2212 18 25
2021-03-17 2219 18 25
2021-03-19 2223 18 25
2021-03-21 2225 18 25
2021-03-23 2233 18 25
2021-03-25 2233 18 25
2021-03-27 2233 18 25
2021-03-29 2232 18 25
