# Frauke Beyer, Max-Planck-Institut for Human Cognitive and Brain Sciences
# datestring citations hindex i10index
2016-12-31 6 none none
2017-12-31 19 none none
2018-12-31 76 none none
2019-12-31 193 none none
2020-12-31 414 none none
2021-12-31 687 none none
2022-12-03 1164 17 22
2022-12-05 1164 17 22
2022-12-07 1168 17 22
2022-12-09 1170 17 22
2022-12-11 1177 17 22
2022-12-13 1177 17 22
2022-12-15 1191 17 22
2022-12-17 1197 17 22
2022-12-19 1197 17 22
2022-12-21 1202 17 22
2022-12-23 1206 17 22
2022-12-25 1211 17 22
2022-12-27 1212 17 22
2022-12-29 1215 17 22
2022-12-31 1220 17 22
2023-01-01 1220 17 22
2023-01-03 1231 17 22
2023-01-05 1231 17 22
2023-01-07 1234 18 22
2023-01-09 1234 18 22
2023-01-11 1239 18 22
2023-01-13 1239 18 22
2023-01-15 1240 18 22
2023-01-17 1246 18 22
2023-01-19 1250 18 22
2023-01-21 1250 18 22
2023-01-23 1252 18 22
2023-01-25 1252 18 22
2023-01-27 1268 18 22
2023-01-29 1273 18 22
2023-01-31 1276 18 22
2023-02-01 1276 18 22
2023-02-03 1281 18 22
2023-02-05 1286 18 22
2023-02-07 1288 18 22
2023-02-09 1290 18 22
2023-02-11 1293 18 23
2023-02-13 1293 18 23
2023-02-15 1295 18 23
2023-02-17 1296 18 23
2023-02-19 1300 18 23
2023-02-21 1303 18 23
2023-02-23 1306 18 23
2023-02-25 1310 18 23
2023-02-27 1310 18 23
2023-03-01 1320 18 24
2023-03-03 1324 18 24
2023-03-05 1328 18 24
2023-03-07 1328 18 24
2023-03-09 1338 18 24
2023-03-11 1344 18 24
2023-03-13 1344 18 24
2023-03-15 1355 18 24
2023-03-17 1360 18 24
2023-03-19 1371 18 24
2023-03-21 1378 18 24
2023-03-23 1384 18 24
2023-03-25 1387 18 24
2023-03-27 1387 18 24
2023-03-29 1390 18 24
2023-03-31 1394 18 24
2023-04-01 1401 18 25
2023-04-03 1401 18 25
2023-04-05 1410 18 25
2023-04-07 1417 18 25
2023-04-09 1420 18 25
2023-04-11 1426 18 25
2023-04-13 1430 18 25
2023-04-15 1435 18 25
2023-04-17 1435 18 25
2023-04-19 1440 18 25
2023-04-21 1444 18 25
2023-04-23 1444 18 25
2023-04-27 1453 18 25
