# Fabian Horst, Johannes Gutenberg-University Mainz (Germany)
# datestring citations hindex i10index
2016-12-31 1 none none
2017-12-31 9 none none
2018-12-31 20 none none
2019-12-31 56 none none
2020-09-17 97 5 5
2020-09-19 97 5 5
2020-09-21 97 5 5
2020-09-23 99 5 5
2020-09-25 100 5 5
2020-09-27 105 5 5
2020-09-29 105 5 5
2020-10-01 105 5 5
2020-10-03 105 5 5
2020-10-05 109 5 5
2020-10-07 109 5 5
2020-10-09 109 5 5
2020-10-11 107 5 5
2020-10-13 108 6 5
2020-10-15 108 6 5
2020-10-17 117 6 5
2020-10-19 117 6 5
2020-10-21 118 6 5
2020-10-23 120 6 5
2020-10-25 120 6 5
2020-10-27 120 6 5
2020-10-29 120 6 5
2020-10-31 120 6 5
2020-11-01 120 6 5
2020-11-03 120 6 5
2020-11-05 120 6 5
2020-11-07 120 6 5
2020-11-09 120 6 5
2020-11-11 121 6 5
2020-11-13 121 6 5
2020-11-15 121 6 5
2020-11-17 121 6 5
2020-11-19 121 6 5
2020-11-21 121 6 5
2020-11-23 123 6 5
2020-11-25 123 6 5
2020-11-27 123 6 5
2020-11-29 123 6 5
2020-12-01 125 6 5
2020-12-03 125 6 5
2020-12-05 125 6 5
2020-12-07 125 6 5
2020-12-09 126 6 5
2020-12-11 127 6 5
2020-12-13 127 6 5
2020-12-15 127 6 5
2020-12-17 132 6 5
2020-12-19 133 6 5
2020-12-21 133 6 5
2020-12-23 134 6 5
2020-12-25 134 6 5
2020-12-27 134 6 5
2020-12-29 135 6 5
2020-12-31 134 6 5
2021-01-01 134 6 5
2021-01-03 135 6 5
2021-01-05 135 6 5
2021-01-07 135 6 5
2021-01-09 135 6 5
2021-01-11 135 6 5
2021-01-13 135 6 5
2021-01-15 135 6 5
2021-01-17 138 6 6
2021-01-19 138 6 6
2021-01-21 138 6 6
2021-01-23 138 6 6
2021-01-25 141 6 6
2021-01-27 142 6 6
2021-01-29 142 6 6
2021-01-31 142 6 6
2021-02-01 144 6 6
2021-02-03 144 6 6
2021-02-05 146 6 6
2021-02-07 148 6 6
2021-02-09 148 6 6
2021-02-11 150 6 6
2021-02-13 150 6 6
2021-02-15 151 6 6
2021-02-17 151 6 6
2021-02-19 151 6 6
2021-02-23 152 6 6
2021-02-25 153 6 6
2021-02-27 153 6 6
2021-03-01 153 6 6
2021-03-03 153 6 6
2021-03-05 153 6 6
2021-03-07 152 6 6
2021-03-09 155 6 6
2021-03-11 155 6 6
2021-03-13 159 6 6
2021-03-15 159 6 6
2021-03-17 162 6 6
2021-03-19 162 6 6
2021-03-21 164 6 6
2021-03-23 164 6 6
2021-03-25 164 6 6
2021-03-27 166 6 6
2021-03-29 166 6 6
2021-03-31 166 6 6
2021-04-01 165 6 6
2021-04-03 166 6 6
2021-04-05 166 6 6
2021-04-07 173 6 6
2021-04-09 173 6 6
2021-04-11 171 6 6
2021-04-13 174 6 6
2021-04-15 174 6 6
2021-04-17 174 6 6
2021-04-19 174 6 6
2021-04-21 175 6 6
2021-04-23 175 6 6
2021-04-25 177 6 6
2021-04-27 177 6 6
2021-04-29 178 6 6
2021-05-01 178 6 6
2021-05-03 178 6 6
2021-05-05 179 6 6
2021-05-07 179 6 6
2021-05-09 180 6 6
2021-05-13 183 6 6
2021-05-15 183 6 6
2021-05-17 183 6 6
2021-05-19 184 6 6
2021-05-21 182 6 6
2021-05-23 182 6 6
2021-05-25 182 6 6
2021-05-27 185 6 6
2021-05-29 186 6 6
2021-05-31 187 6 6
2021-06-01 187 6 6
2021-06-03 188 6 6
2021-06-05 189 6 6
2021-06-07 189 6 6
2021-06-09 193 6 6
2021-06-11 194 6 6
2021-06-13 195 6 6
2021-06-15 195 6 6
2021-06-17 198 6 6
2021-06-19 198 6 6
2021-06-21 198 6 6
2021-06-23 202 7 6
2021-06-25 202 7 6
2021-06-27 202 7 6
2021-06-29 202 7 6
2021-07-01 200 7 6
2021-07-03 201 7 6
2021-07-05 202 7 6
2021-07-07 202 7 6
2021-07-09 204 7 6
2021-07-11 205 7 7
2021-07-13 205 7 7
2021-07-15 206 7 7
2021-07-17 206 7 7
2021-07-19 207 7 7
2021-07-21 209 7 7
2021-07-23 209 7 7
2021-07-25 210 7 7
2021-07-27 211 7 7
2021-07-29 211 7 7
2021-07-31 211 7 7
2021-08-01 212 7 7
2021-08-03 212 7 7
2021-08-05 212 7 7
2021-08-07 212 7 7
2021-08-09 212 7 7
2021-08-11 216 7 7
2021-08-13 216 7 7
2021-08-15 216 7 7
2021-08-17 217 7 7
2021-08-21 219 7 7
2021-08-23 219 7 7
2021-08-27 220 7 7
2021-08-29 221 7 7
2021-08-31 221 7 7
2021-09-01 221 7 7
2021-09-03 221 7 7
2021-09-05 222 7 7
2021-09-07 222 7 7
2021-09-09 228 7 7
2021-09-11 228 7 7
2021-09-13 227 7 7
2021-09-15 229 7 7
2021-09-17 230 7 7
2021-09-19 233 7 7
2021-09-25 234 7 7
2021-09-27 239 7 7
2021-09-29 239 7 7
2021-10-01 239 7 7
2021-10-03 240 7 7
2021-10-05 240 7 7
2021-10-07 241 7 7
2021-10-09 242 7 7
2021-10-11 243 7 7
2021-10-13 245 7 7
2021-10-15 245 7 7
2021-10-17 245 7 7
2021-10-19 246 7 7
2021-10-21 246 7 7
2021-10-23 247 7 7
2021-10-25 247 7 7
2021-10-27 247 7 7
2021-10-29 248 7 7
2021-10-31 248 7 7
2021-11-01 248 7 7
2021-11-03 249 7 7
2021-11-05 252 7 7
2021-11-07 253 7 7
2021-11-09 253 7 7
2021-11-11 253 7 7
2021-11-13 253 7 7
2021-11-15 253 7 7
2021-11-17 254 7 7
2021-11-19 254 7 7
2021-11-21 255 7 7
2021-11-23 269 8 8
2021-11-25 270 8 8
2021-11-27 271 8 8
2021-11-29 271 8 8
2021-12-01 272 8 8
2021-12-03 273 8 8
2021-12-05 274 8 8
2021-12-07 276 8 8
2021-12-09 277 8 8
2021-12-11 279 8 8
2021-12-13 279 8 8
2021-12-15 281 8 8
2021-12-17 282 8 8
2021-12-19 284 8 8
2021-12-21 284 8 8
2021-12-23 287 8 8
2021-12-25 290 8 8
2021-12-27 290 8 8
2021-12-29 291 8 8
2021-12-31 291 8 8
2022-01-01 291 8 8
2022-01-03 291 8 8
2022-01-05 293 8 8
2022-01-07 293 8 8
2022-01-09 293 8 8
2022-01-11 296 8 8
2022-01-13 296 8 8
2022-01-15 304 8 8
2022-01-17 305 8 8
2022-01-19 305 8 8
2022-01-21 306 8 8
2022-01-23 309 8 8
2022-01-25 309 8 8
2022-01-27 311 8 8
2022-01-29 312 8 8
2022-01-31 312 8 8
2022-02-01 312 8 8
2022-02-03 312 8 8
2022-02-05 322 8 8
2022-02-07 323 8 8
2022-02-09 324 8 8
2022-02-11 324 8 8
2022-02-13 327 8 8
2022-02-15 330 9 8
2022-02-17 330 9 8
2022-02-19 332 9 8
2022-02-21 332 9 8
2022-02-23 333 9 8
2022-02-25 333 9 8
2022-02-27 334 9 8
2022-03-01 334 9 8
2022-03-03 335 9 8
2022-03-05 335 9 8
2022-03-07 335 9 8
2022-03-09 338 9 8
2022-03-11 339 9 8
2022-03-13 342 9 8
2022-03-15 343 9 8
2022-03-17 343 9 8
2022-03-19 344 9 8
2022-03-21 344 9 8
2022-03-23 347 9 8
2022-03-25 347 9 8
2022-03-27 348 9 8
2022-03-29 349 9 8
2022-03-31 349 9 8
2022-04-01 349 9 8
2022-04-03 350 9 8
2022-04-05 351 9 8
2022-04-07 351 9 8
2022-04-09 351 9 8
2022-04-11 351 9 8
2022-04-13 352 9 8
2022-04-15 353 9 8
2022-04-17 354 9 8
2022-04-19 354 9 8
2022-04-21 354 9 8
2022-04-23 354 9 8
2022-04-25 354 9 8
