# Seul-Ki Yeom, Technische Universität Berlin - Machine Learning Group
# datestring citations hindex i10index
2013-12-31 7 none none
2014-12-31 17 none none
2015-12-31 38 none none
2016-12-31 56 none none
2017-12-31 97 none none
2018-12-31 140 none none
2019-12-31 213 none none
2020-09-19 298 8 6
2020-09-21 298 8 6
2020-09-23 298 8 6
2020-09-25 298 8 6
2020-09-27 298 8 6
2020-09-29 298 8 6
2020-10-01 298 8 6
2020-10-03 299 8 6
2020-10-05 299 8 6
2020-10-07 299 8 6
2020-10-09 299 8 6
2020-10-11 300 8 6
2020-10-13 303 8 6
2020-10-15 304 8 6
2020-10-17 306 8 6
2020-10-19 306 8 6
2020-10-21 306 8 6
2020-10-23 306 8 6
2020-10-25 306 8 6
2020-10-27 306 8 6
2020-10-29 306 8 6
2020-10-31 306 8 6
2020-11-01 306 8 6
2020-11-03 308 8 6
2020-11-05 308 8 6
2020-11-07 308 8 6
2020-11-09 308 8 6
2020-11-11 308 8 6
2020-11-13 308 8 6
2020-11-15 308 8 6
2020-11-17 308 8 6
2020-11-19 309 8 6
2020-11-21 309 8 6
2020-11-23 310 8 6
2020-11-25 310 8 6
2020-11-27 310 8 6
2020-11-29 312 8 7
2020-12-01 312 8 7
2020-12-03 312 8 7
2020-12-05 312 8 7
2020-12-07 314 8 7
2020-12-09 314 8 7
2020-12-11 314 8 7
2020-12-13 322 8 7
2020-12-15 324 8 7
2020-12-17 324 8 7
2020-12-19 327 8 7
2020-12-21 327 8 7
2020-12-23 328 8 7
2020-12-25 328 8 7
2020-12-27 329 8 7
2020-12-29 329 8 7
2020-12-31 329 8 7
2021-01-01 329 8 7
2021-01-03 329 8 7
2021-01-05 329 8 7
2021-01-07 329 8 7
2021-01-09 329 8 7
2021-01-11 329 8 7
2021-01-13 329 8 7
2021-01-15 329 8 7
2021-01-17 331 8 7
2021-01-19 331 8 7
2021-01-21 331 8 7
2021-01-23 331 8 7
2021-01-25 338 8 8
2021-01-27 339 8 8
2021-01-29 339 8 8
2021-01-31 339 8 8
2021-02-01 339 8 8
2021-02-03 339 8 8
2021-02-05 339 8 8
2021-02-07 340 8 8
2021-02-09 340 8 8
2021-02-11 341 8 8
2021-02-13 341 8 8
2021-02-15 341 8 8
2021-02-17 341 8 8
2021-02-19 341 8 8
2021-02-23 343 8 8
2021-02-25 344 8 8
2021-02-27 344 8 8
2021-03-01 344 8 8
2021-03-03 345 8 8
2021-03-05 345 8 8
2021-03-07 344 8 8
2021-03-09 346 8 8
2021-03-11 346 8 8
