# Sami Ede, Technical University of Berlin
# datestring citations hindex i10index
2022-06-19 0 0 0
2022-06-21 0 0 0
2022-06-23 0 0 0
2022-06-25 0 0 0
2022-06-27 0 0 0
2022-06-29 0 0 0
2022-07-01 0 0 0
2022-07-03 0 0 0
2022-07-05 0 0 0
2022-07-07 0 0 0
2022-07-09 0 0 0
2022-07-11 0 0 0
2022-07-13 0 0 0
2022-07-15 0 0 0
2022-07-17 0 0 0
2022-07-19 0 0 0
2022-07-21 0 0 0
2022-07-23 0 0 0
2022-07-25 0 0 0
2022-07-27 0 0 0
2022-07-29 0 0 0
2022-07-31 0 0 0
2022-08-01 0 0 0
2022-08-03 0 0 0
2022-08-05 0 0 0
2022-08-07 0 0 0
2022-08-09 0 0 0
2022-08-11 0 0 0
2022-08-13 0 0 0
2022-08-15 0 0 0
2022-08-17 0 0 0
2022-08-19 0 0 0
2022-08-21 0 0 0
2022-08-23 0 0 0
2022-08-25 0 0 0
2022-08-27 0 0 0
2022-08-29 0 0 0
2022-08-31 0 0 0
2022-09-01 0 0 0
2022-09-03 0 0 0
2022-09-05 0 0 0
2022-09-07 0 0 0
2022-09-09 0 0 0
2022-09-11 0 0 0
2022-09-13 0 0 0
