# Ole Goltermann, Max Planck School of Cognition, UKE Hamburg
# datestring citations hindex i10index
2022-12-03 2 1 0
2022-12-05 2 1 0
2022-12-07 2 1 0
2022-12-09 3 1 0
2022-12-11 3 1 0
2022-12-13 3 1 0
2022-12-15 5 1 0
2022-12-17 5 1 0
2022-12-19 5 1 0
2022-12-21 5 1 0
2022-12-23 5 1 0
2022-12-25 5 1 0
2022-12-27 5 1 0
2022-12-29 5 1 0
2022-12-31 5 1 0
2023-01-01 5 1 0
2023-01-03 5 1 0
2023-01-05 5 1 0
2023-01-07 5 1 0
2023-01-09 5 1 0
2023-01-11 5 1 0
2023-01-13 5 1 0
2023-01-15 5 1 0
2023-01-17 5 1 0
2023-01-19 5 1 0
2023-01-21 5 1 0
2023-01-23 5 1 0
2023-01-25 5 1 0
2023-01-27 5 1 0
2023-01-29 5 1 0
2023-01-31 5 1 0
2023-02-01 5 1 0
2023-02-03 5 1 0
2023-02-05 5 1 0
2023-02-07 5 1 0
2023-02-09 5 1 0
2023-02-11 5 1 0
2023-02-13 5 1 0
2023-02-15 5 1 0
2023-02-17 5 1 0
2023-02-19 5 1 0
2023-02-21 5 1 0
2023-02-23 5 1 0
2023-02-25 5 1 0
2023-02-27 5 1 0
2023-03-01 5 1 0
2023-03-03 5 1 0
2023-03-05 5 1 0
2023-03-07 5 1 0
2023-03-09 5 1 0
2023-03-11 5 1 0
2023-03-13 5 1 0
2023-03-15 6 1 0
2023-03-17 6 1 0
2023-03-19 6 1 0
2023-03-21 6 1 0
2023-03-23 6 1 0
2023-03-25 6 1 0
2023-03-27 6 1 0
2023-03-29 6 1 0
2023-03-31 6 1 0
2023-04-01 7 1 0
2023-04-03 7 1 0
2023-04-05 7 1 0
2023-04-07 7 1 0
2023-04-09 7 1 0
2023-04-11 7 1 0
2023-04-13 7 1 0
2023-04-15 7 1 0
2023-04-17 7 1 0
2023-04-19 8 1 0
2023-04-21 8 1 0
2023-04-23 8 1 0
2023-04-27 8 1 0
2023-04-29 8 1 0
2023-05-01 8 1 0
2023-05-03 8 1 0
2023-05-05 8 1 0
2023-05-07 8 1 0
2023-05-09 8 1 0
2023-05-11 8 1 0
2023-05-13 8 1 0
2023-05-15 8 1 0
2023-05-17 8 1 0
2023-05-19 8 1 0
2023-05-21 8 1 0
2023-05-23 8 1 0
2023-05-25 8 1 0
2023-05-27 8 1 0
2023-05-29 8 1 0
2023-05-31 8 1 0
2023-06-01 8 1 0
2023-06-03 8 1 0
2023-06-05 8 1 0
2023-06-07 9 1 0
2023-06-09 9 1 0
2023-06-11 9 1 0
2023-06-13 8 1 0
2023-06-15 9 1 0
2023-06-17 9 1 0
2023-06-19 9 1 0
2023-06-21 9 1 0
2023-06-23 9 1 0
2023-06-25 10 1 1
2023-06-27 11 1 1
2023-06-29 11 1 1
2023-07-01 11 1 1
2023-07-03 12 1 1
2023-07-05 12 1 1
2023-07-07 12 1 1
2023-07-09 12 1 1
2023-07-11 12 1 1
2023-07-13 12 1 1
2023-07-23 12 1 1
2023-07-25 12 1 1
2023-07-27 12 1 1
2023-07-29 12 1 1
2023-07-31 12 1 1
2023-08-01 12 1 1
2023-08-03 12 1 1
2023-08-05 12 1 1
2023-08-07 12 1 1
2023-08-09 12 1 1
2023-08-11 12 1 1
2023-08-13 12 1 1
2023-08-15 12 1 1
2023-08-17 12 1 1
2023-08-19 12 1 1
2023-08-21 12 1 1
2023-08-23 12 1 1
2023-08-25 12 1 1
2023-08-27 12 1 1
2023-08-29 12 1 1
2023-08-31 12 1 1
2023-09-01 12 1 1
2023-09-03 13 1 1
2023-09-05 13 1 1
2023-09-07 13 1 1
2023-09-09 13 1 1
2023-09-11 13 1 1
2023-09-13 13 1 1
2023-09-15 13 1 1
2023-09-17 13 1 1
2023-09-19 13 1 1
2023-09-21 13 1 1
2023-09-23 13 1 1
2023-09-25 13 1 1
2023-09-27 13 1 1
2023-09-29 13 1 1
2023-10-01 13 1 1
2023-10-03 13 1 1
2023-10-05 13 1 1
2023-10-07 14 1 1
2023-10-09 14 1 1
2023-10-11 14 1 1
2023-10-13 14 1 1
2023-10-15 14 1 1
2023-10-17 14 1 1
2023-10-19 13 1 1
2023-10-21 13 1 1
2023-10-23 13 1 1
2023-10-25 14 1 1
2023-10-27 14 1 1
2023-10-29 14 1 1
2023-10-31 14 1 1
2023-11-01 15 1 1
2023-11-03 15 1 1
2023-11-05 15 1 1
2023-11-07 15 1 1
2023-11-09 15 1 1
2023-11-11 15 1 1
2023-11-13 15 1 1
2023-11-15 15 1 1
2023-11-17 15 1 1
2023-11-19 15 1 1
2023-11-21 15 1 1
2023-11-23 15 1 1
2023-11-25 15 1 1
2023-11-27 15 1 1
2023-11-29 15 1 1
2023-12-01 15 1 1
2023-12-03 16 1 1
2023-12-05 16 1 1
2023-12-07 16 1 1
2023-12-09 16 1 1
2023-12-11 16 1 1
2023-12-13 16 1 1
2023-12-15 16 1 1
2023-12-17 16 1 1
2023-12-19 16 1 1
2023-12-21 16 1 1
2023-12-23 16 1 1
2023-12-25 17 1 1
2023-12-27 17 1 1
2023-12-29 17 1 1
2023-12-31 17 1 1
2024-01-01 17 1 1
2024-01-03 17 1 1
2024-01-05 17 1 1
