# Roman Rischke, Fraunhofer Heinrich Hertz Institute
# datestring citations hindex i10index
2015-12-31 2 none none
2016-12-31 7 none none
2017-12-31 10 none none
2018-12-31 24 none none
2019-12-31 43 none none
2020-12-23 66 6 3
2020-12-25 66 6 3
2020-12-27 66 6 3
2020-12-29 66 6 3
2020-12-31 66 6 3
2021-01-01 66 6 3
2021-01-03 67 6 4
2021-01-05 68 6 4
2021-01-07 68 6 4
2021-01-09 68 6 4
2021-01-11 68 6 4
2021-01-13 68 6 4
2021-01-15 68 6 4
2021-01-17 68 6 4
2021-01-19 68 6 4
2021-01-21 68 6 4
2021-01-23 68 6 4
2021-01-25 69 6 4
2021-01-27 69 6 4
2021-01-29 69 6 4
2021-01-31 69 6 4
2021-02-01 69 6 4
2021-02-03 69 6 4
2021-02-05 69 6 4
2021-02-07 69 6 4
2021-02-09 69 6 4
2021-02-11 69 6 4
2021-02-13 69 6 4
2021-02-15 70 6 4
2021-02-17 70 6 4
2021-02-19 70 6 4
2021-02-23 71 6 4
2021-02-25 71 6 4
2021-02-27 72 6 4
2021-03-01 72 6 4
2021-03-03 72 6 4
2021-03-05 72 6 4
2021-03-07 71 6 4
2021-03-09 71 6 4
2021-03-11 71 6 4
2021-03-13 72 6 4
2021-03-15 72 6 4
2021-03-17 72 6 4
2021-03-19 72 6 4
2021-03-21 72 6 4
2021-03-23 72 6 4
2021-03-25 72 6 4
2021-03-27 72 6 4
2021-03-29 72 6 4
2021-03-31 72 6 4
2021-04-01 72 6 4
2021-04-03 71 6 4
2021-04-05 71 6 4
2021-04-07 72 6 4
2021-04-09 72 6 4
2021-04-11 71 6 4
2021-04-13 72 6 4
2021-04-15 72 6 4
2021-04-17 72 6 4
2021-04-19 72 6 4
2021-04-21 72 6 4
2021-04-23 72 6 4
2021-04-25 72 6 4
2021-04-27 72 6 4
2021-04-29 72 6 4
2021-05-01 72 6 4
2021-05-03 72 6 4
2021-05-05 72 6 4
2021-05-07 72 6 4
2021-05-09 73 6 4
2021-05-13 77 6 4
2021-05-15 78 6 4
2021-05-17 78 6 4
2021-05-19 78 6 4
2021-05-21 78 6 4
2021-05-23 78 6 4
2021-05-25 78 6 4
2021-05-27 78 6 4
2021-05-29 78 6 4
2021-05-31 78 6 4
2021-06-01 78 6 4
2021-06-03 78 6 4
2021-06-05 78 6 4
2021-06-07 78 6 4
2021-06-09 79 6 4
2021-06-11 80 6 4
2021-06-13 82 6 4
2021-06-15 83 6 4
2021-06-17 83 6 4
2021-06-19 84 6 4
2021-06-21 84 6 4
2021-06-23 84 6 4
2021-06-25 84 6 4
2021-06-27 84 6 4
2021-06-29 84 6 4
2021-07-01 86 6 4
2021-07-03 87 6 4
2021-07-05 87 6 4
2021-07-07 87 6 4
2021-07-09 87 6 4
2021-07-11 89 6 4
2021-07-13 89 6 4
2021-07-15 89 6 4
2021-07-17 90 6 4
2021-07-19 90 6 4
2021-07-21 90 6 4
2021-07-23 90 6 4
2021-07-25 89 6 4
2021-07-27 90 6 4
2021-07-29 91 6 4
2021-07-31 91 6 4
2021-08-01 91 6 4
2021-08-03 94 6 4
2021-08-05 94 6 4
2021-08-07 94 6 4
2021-08-09 94 6 4
2021-08-11 94 6 4
2021-08-13 94 6 4
2021-08-15 94 6 4
2021-08-17 94 6 4
2021-08-21 95 6 4
2021-08-23 95 6 4
2021-08-27 97 6 4
2021-08-29 96 6 4
2021-08-31 97 6 4
2021-09-01 97 6 4
2021-09-03 97 6 4
2021-09-05 97 6 4
2021-09-07 97 6 4
2021-09-09 97 6 4
2021-09-11 96 6 4
2021-09-13 96 6 4
2021-09-15 98 6 4
2021-09-17 98 6 4
2021-09-19 98 6 4
2021-09-21 98 6 4
2021-09-23 98 6 4
2021-09-25 98 6 4
2021-09-27 98 6 4
2021-09-29 98 6 4
2021-10-01 99 6 4
2021-10-03 100 6 4
2021-10-05 100 6 4
2021-10-07 100 6 4
2021-10-09 101 6 4
2021-10-11 101 6 4
2021-10-13 100 6 4
2021-10-15 101 6 4
2021-10-17 100 6 4
2021-10-19 100 6 4
2021-10-21 103 7 4
2021-10-23 104 7 4
2021-10-25 104 7 4
2021-10-27 105 7 4
2021-10-29 105 7 4
2021-10-31 104 7 4
2021-11-01 104 7 4
2021-11-03 104 7 4
2021-11-05 105 7 4
2021-11-07 106 7 4
2021-11-09 106 7 4
2021-11-11 105 7 4
2021-11-13 105 7 4
2021-11-15 105 7 4
2021-11-17 106 7 4
2021-11-19 106 7 4
2021-11-21 106 7 4
2021-11-23 107 7 4
2021-11-25 107 7 4
2021-11-27 108 7 4
2021-11-29 108 7 4
2021-12-01 108 7 4
2021-12-03 108 7 4
2021-12-05 109 7 4
2021-12-07 110 7 4
2021-12-09 112 7 4
2021-12-11 112 7 4
