# Piotr Dworzynski, University of Copenhagen
# datestring citations hindex i10index
2012-12-31 23 none none
2013-12-31 50 none none
2014-12-31 123 none none
2015-12-31 278 none none
2016-12-31 501 none none
2017-12-31 745 none none
2018-12-31 973 none none
2019-12-31 1213 none none
2020-12-31 1466 none none
2021-12-31 1775 none none
2022-12-03 2026 10 10
2022-12-05 2026 10 10
2022-12-07 2029 10 10
2022-12-09 2032 10 10
2022-12-11 2032 10 10
2022-12-13 2032 10 10
2022-12-15 2035 10 10
2022-12-17 2037 10 10
2022-12-19 2037 10 10
2022-12-21 2043 10 10
2022-12-23 2043 10 10
2022-12-25 2042 10 10
2022-12-27 2044 10 10
2022-12-29 2045 10 10
2022-12-31 2048 10 10
2023-01-01 2048 10 10
2023-01-03 2050 10 10
2023-01-05 2052 10 10
2023-01-07 2054 10 10
2023-01-09 2054 10 10
2023-01-11 2055 10 10
2023-01-13 2056 10 10
2023-01-15 2063 10 10
2023-01-17 2063 10 10
2023-01-19 2062 10 10
2023-01-21 2062 10 10
2023-01-23 2064 10 10
2023-01-25 2064 10 10
2023-01-27 2044 9 9
2023-01-29 2047 9 9
2023-01-31 2048 9 9
2023-02-01 2048 9 9
2023-02-03 2049 9 9
2023-02-05 2052 9 9
2023-02-07 2055 9 9
2023-02-09 2055 9 9
2023-02-11 2058 9 9
2023-02-13 2058 9 9
2023-02-15 2060 9 9
2023-02-17 2061 9 9
2023-02-19 2064 9 9
2023-02-21 2067 9 9
2023-02-23 2068 9 9
2023-02-25 2071 9 9
2023-02-27 2071 9 9
2023-03-01 2073 9 9
2023-03-03 2075 9 9
2023-03-05 2077 9 9
2023-03-07 2080 9 9
2023-03-09 2081 9 9
