# Nils Strodthoff, Research Scientist, Machine Learning Group, Fraunhofer HHI, Germany
# datestring citations hindex i10index
2012-12-31 10 none none
2013-12-31 42 none none
2014-12-31 87 none none
2015-12-31 173 none none
2016-12-31 287 none none
2017-12-31 497 none none
2018-12-31 725 none none
2019-12-31 1019 none none
2020-09-17 1300 18 22
2020-09-19 1297 18 22
2020-09-21 1297 18 22
2020-09-23 1308 18 22
2020-09-25 1311 18 22
2020-09-27 1311 18 22
2020-09-29 1317 18 22
2020-10-01 1317 18 22
2020-10-03 1314 18 22
2020-10-05 1314 18 22
2020-10-07 1325 18 22
2020-10-09 1325 18 22
2020-10-11 1327 18 22
2020-10-13 1330 18 22
2020-10-15 1326 18 22
2020-10-17 1334 18 22
2020-10-19 1334 18 22
2020-10-21 1333 18 22
2020-10-23 1333 18 22
2020-10-25 1336 18 23
2020-10-27 1340 18 23
2020-10-29 1340 18 23
2020-10-31 1354 18 23
2020-11-01 1354 18 23
2020-11-03 1356 18 23
2020-11-05 1356 18 23
2020-11-07 1356 18 23
2020-11-09 1356 18 23
2020-11-11 1357 18 23
2020-11-13 1362 18 23
2020-11-15 1361 18 23
2020-11-17 1361 18 23
2020-11-19 1363 18 22
2020-11-21 1364 18 23
2020-11-23 1365 18 22
2020-11-25 1370 18 23
2020-11-27 1366 18 23
2020-11-29 1368 18 23
2020-12-01 1370 19 23
2020-12-03 1375 19 23
2020-12-05 1375 19 23
2020-12-07 1381 19 23
2020-12-09 1382 19 24
2020-12-11 1383 19 24
2020-12-13 1391 19 25
2020-12-15 1391 19 25
2020-12-17 1392 19 25
2020-12-19 1401 19 25
2020-12-21 1401 19 25
2020-12-23 1403 19 25
2020-12-25 1404 19 25
2020-12-27 1408 19 25
2020-12-29 1411 19 25
2020-12-31 1410 19 25
2021-01-01 1410 19 25
2021-01-03 1415 19 25
2021-01-05 1414 19 25
2021-01-07 1418 19 25
2021-01-09 1422 19 25
2021-01-11 1422 19 25
2021-01-13 1424 19 25
2021-01-15 1426 19 25
2021-01-17 1429 19 25
2021-01-19 1429 19 25
2021-01-21 1429 19 25
2021-01-23 1429 19 25
2021-01-25 1481 19 26
2021-01-27 1494 19 26
2021-01-29 1494 19 26
2021-01-31 1496 19 26
2021-02-01 1496 19 26
2021-02-03 1496 19 26
2021-02-05 1497 19 26
2021-02-07 1503 19 26
2021-02-09 1503 19 26
2021-02-11 1504 19 26
2021-02-13 1506 19 26
2021-02-15 1511 19 26
2021-02-17 1513 19 26
2021-02-19 1513 19 26
2021-02-23 1520 19 26
2021-02-25 1522 19 26
2021-02-27 1523 19 26
2021-03-01 1530 19 27
2021-03-03 1540 19 27
2021-03-05 1544 20 27
2021-03-07 1549 20 27
2021-03-09 1557 20 28
2021-03-11 1557 20 28
2021-03-13 1559 20 28
2021-03-15 1559 20 28
2021-03-17 1561 21 28
2021-03-19 1560 21 28
2021-03-21 1568 21 28
2021-03-23 1569 21 28
2021-03-25 1569 21 28
2021-03-27 1569 21 28
2021-03-29 1573 21 28
2021-03-31 1584 21 28
2021-04-01 1591 21 28
2021-04-03 1592 21 28
2021-04-05 1592 21 28
2021-04-07 1595 21 28
2021-04-09 1595 21 28
2021-04-11 1593 21 28
2021-04-13 1597 21 28
2021-04-15 1596 21 28
2021-04-17 1596 21 28
2021-04-19 1593 21 28
2021-04-21 1598 21 28
2021-04-23 1598 21 28
2021-04-25 1599 21 28
2021-04-27 1605 21 28
2021-04-29 1606 21 28
2021-05-01 1608 21 28
2021-05-03 1608 21 28
2021-05-05 1616 21 28
2021-05-07 1617 21 28
2021-05-09 1618 21 28
2021-05-13 1619 21 28
2021-05-15 1620 21 28
2021-05-17 1620 21 28
2021-05-19 1630 21 28
2021-05-21 1630 21 28
2021-05-23 1630 21 28
2021-05-25 1630 21 28
2021-05-27 1634 21 28
2021-05-29 1638 21 28
2021-05-31 1639 21 28
2021-06-01 1639 21 28
2021-06-03 1647 21 28
2021-06-05 1651 21 28
2021-06-07 1651 21 28
2021-06-09 1652 21 28
2021-06-11 1652 21 28
2021-06-13 1661 21 28
2021-06-15 1663 21 28
2021-06-17 1663 21 28
2021-06-19 1663 21 28
2021-06-21 1667 21 28
2021-06-23 1668 21 28
2021-06-25 1668 21 28
2021-06-27 1668 21 28
2021-06-29 1668 21 28
2021-07-01 1652 21 28
2021-07-03 1654 21 28
2021-07-05 1656 21 28
2021-07-07 1656 21 28
2021-07-09 1662 22 28
