# Maximilian Kohlbrenner, 
# datestring citations hindex i10index
2019-12-31 5 none none
2020-09-19 11 2 0
2020-09-21 11 2 0
2020-09-23 11 2 0
2020-09-25 11 2 0
2020-09-27 13 2 0
2020-09-29 13 2 0
2020-10-01 13 2 0
2020-10-03 13 2 0
2020-10-05 13 2 0
2020-10-07 13 2 0
2020-10-09 13 2 0
2020-10-11 13 2 0
2020-10-13 13 2 0
2020-10-15 13 2 0
2020-10-17 13 2 0
2020-10-19 13 2 0
2020-10-21 13 2 0
2020-10-23 13 2 0
2020-10-25 13 2 0
2020-10-27 13 2 0
2020-10-29 13 2 0
2020-10-31 13 2 0
2020-11-01 13 2 0
2020-11-03 13 2 0
2020-11-05 13 2 0
2020-11-07 13 2 0
2020-11-09 13 2 0
2020-11-11 13 2 0
2020-11-13 13 2 0
2020-11-15 14 2 0
2020-11-17 15 2 1
2020-11-19 15 2 1
2020-11-21 15 2 1
2020-11-23 15 2 1
2020-11-25 15 2 1
2020-11-27 15 2 1
2020-11-29 16 2 1
2020-12-01 16 2 1
2020-12-03 17 2 1
2020-12-05 17 2 1
2020-12-07 17 2 1
2020-12-09 19 2 1
2020-12-11 19 2 1
2020-12-13 19 2 1
2020-12-15 19 2 1
2020-12-17 19 2 1
2020-12-19 19 2 1
2020-12-21 19 2 1
2020-12-23 19 2 1
2020-12-25 20 2 1
2020-12-27 20 2 1
2020-12-29 20 2 1
2020-12-31 20 2 1
2021-01-01 20 2 1
2021-01-03 20 2 1
2021-01-05 20 2 1
2021-01-07 21 2 1
2021-01-09 21 2 1
2021-01-11 21 2 1
2021-01-13 21 2 1
2021-01-15 21 2 1
2021-01-17 21 2 1
2021-01-19 21 2 1
2021-01-21 21 2 1
2021-01-23 21 2 1
2021-01-25 26 3 1
2021-01-27 27 3 1
2021-01-29 27 3 1
2021-01-31 27 3 1
2021-02-01 27 3 1
2021-02-03 27 3 1
2021-02-05 27 3 1
