# Klaus-Robert Müller, Google Brain (on leave of Professor for Machine Learning, TU Berlin & Korea University …
# datestring citations hindex i10index
2000-12-31 309 none none
2001-12-31 778 none none
2002-12-31 1419 none none
2003-12-31 2536 none none
2004-12-31 4098 none none
2005-12-31 5928 none none
2006-12-31 8238 none none
2007-12-31 10933 none none
2008-12-31 13791 none none
2009-12-31 16983 none none
2010-12-31 20329 none none
2011-12-31 24107 none none
2012-12-31 28273 none none
2013-12-31 32623 none none
2014-12-31 37291 none none
2015-12-31 42248 none none
2016-12-31 47346 none none
2017-12-31 53473 none none
2018-12-31 60913 none none
2019-12-31 70094 none none
2020-09-17 78942 121 432
2020-09-19 79022 121 432
2020-09-21 79017 121 431
2020-09-23 79087 121 431
2020-09-25 79094 121 430
2020-09-27 79217 121 431
2020-09-29 79398 121 433
2020-10-01 79398 121 433
2020-10-03 79527 121 433
2020-10-05 79527 121 433
2020-10-07 79698 121 434
2020-10-09 79720 121 434
2020-10-11 79789 121 433
2020-10-13 79971 122 434
2020-10-15 79976 122 434
2020-10-17 80096 122 434
2020-10-19 80096 122 434
2020-10-21 80240 122 434
2020-10-23 80273 122 434
2020-10-25 80328 122 432
2020-10-27 80495 122 435
2020-10-29 80495 122 435
2020-10-31 80560 122 433
2020-11-01 80560 122 433
2020-11-03 80792 122 436
2020-11-05 80834 122 436
2020-11-07 80918 122 436
2020-11-09 80918 122 436
2020-11-11 81160 122 438
2020-11-13 81182 122 438
2020-11-15 81321 122 438
2020-11-17 81467 122 438
2020-11-19 81467 122 438
2020-11-21 81393 122 436
2020-11-23 81619 122 438
2020-11-25 81636 122 435
2020-11-27 81759 122 438
2020-11-29 81834 123 438
2020-12-01 81834 123 438
2020-12-03 81912 123 436
2020-12-05 81912 123 436
2020-12-07 82173 124 438
2020-12-09 82230 124 435
2020-12-11 82312 124 435
2020-12-13 82490 125 439
2020-12-15 82490 125 439
2020-12-17 82531 124 437
2020-12-19 82796 125 439
2020-12-21 82796 125 439
2020-12-23 83011 125 440
2020-12-25 82981 125 438
2020-12-27 83132 126 440
2020-12-29 83231 126 440
2020-12-31 83111 126 437
2021-01-01 83111 126 437
2021-01-03 83321 126 440
2021-01-05 83339 125 438
2021-01-07 83339 125 438
2021-01-09 83559 126 440
2021-01-11 83559 126 440
2021-01-13 83640 127 441
2021-01-15 83679 127 441
2021-01-17 83729 126 440
2021-01-19 83729 126 440
2021-01-21 83729 126 440
2021-01-23 83729 126 440
2021-01-25 80863 127 445
2021-01-27 84354 127 447
2021-01-29 84373 128 446
2021-01-31 84479 128 445
