# Thomas Wiegand, Professor, TU Berlin and Fraunhofer HHI, Berlin, Germany
# datestring citations hindex i10index
2002-12-31 328 none none
2003-12-31 796 none none
2004-12-31 1668 none none
2005-12-31 3115 none none
2006-12-31 5017 none none
2007-12-31 7352 none none
2008-12-31 9853 none none
2009-12-31 12838 none none
2010-12-31 16501 none none
2011-12-31 20150 none none
2012-12-31 24483 none none
2013-12-31 29205 none none
2014-12-31 33998 none none
2015-12-31 38682 none none
2016-12-31 43714 none none
2017-12-31 48239 none none
2018-12-31 52372 none none
2019-12-31 56739 none none
2020-12-31 61321 none none
2021-12-31 65244 none none
2022-12-03 70177 96 445
2022-12-05 70177 96 445
2022-12-07 70212 96 445
2022-12-09 70216 96 445
2022-12-11 69688 95 439
2022-12-13 69688 95 439
2022-12-15 69730 95 439
2022-12-17 69750 95 439
2022-12-19 69750 95 439
2022-12-21 70363 96 446
2022-12-23 70373 96 446
2022-12-25 70421 96 447
2022-12-27 70412 96 447
2022-12-29 70439 96 447
2022-12-31 70451 96 447
2023-01-01 70451 96 447
2023-01-03 70478 96 447
2023-01-05 70508 96 447
2023-01-07 70515 96 447
2023-01-09 70515 96 447
2023-01-11 70535 96 447
2023-01-13 70549 96 447
2023-01-15 70562 96 447
2023-01-17 70638 96 447
2023-01-19 70686 96 447
2023-01-21 70686 96 447
2023-01-23 70717 96 447
2023-01-25 70717 96 447
2023-01-27 72139 96 447
2023-01-29 72200 96 447
2023-01-31 72229 96 447
2023-02-01 72229 96 447
2023-02-03 72251 96 447
2023-02-05 72287 96 448
2023-02-07 72313 96 448
2023-02-09 72332 97 448
2023-02-11 72368 97 448
2023-02-13 72368 97 448
2023-02-15 72390 97 448
2023-02-17 72322 96 447
2023-02-19 72351 96 447
2023-02-21 72376 96 447
2023-02-23 72396 96 447
2023-02-25 72423 96 447
2023-02-27 72423 96 447
2023-03-01 72447 96 447
2023-03-03 72478 96 447
2023-03-05 72520 96 447
2023-03-07 72520 96 447
2023-03-09 72563 96 447
2023-03-11 72621 96 448
2023-03-13 72621 96 448
2023-03-15 72645 96 448
2023-03-17 72665 96 448
2023-03-19 72698 96 448
2023-03-21 72733 96 448
2023-03-23 72756 96 448
2023-03-25 72794 96 448
2023-03-27 72794 96 448
2023-03-29 72827 96 448
2023-03-31 72852 96 448
2023-04-01 72875 96 449
2023-04-03 72875 96 449
2023-04-05 72949 96 449
2023-04-07 72955 96 449
2023-04-09 72989 96 449
2023-04-11 73007 96 449
2023-04-13 73048 96 449
2023-04-15 73087 96 450
2023-04-17 73087 96 450
2023-04-19 73152 96 452
2023-04-21 73168 96 452
2023-04-23 73197 96 452
2023-04-27 73254 96 452
2023-04-29 73981 97 454
