# Lena  A. Jäger, Associate Professor, University of Zurich, Department of Computational Linguistics
# datestring citations hindex i10index
2013-12-31 6 none none
2014-12-31 20 none none
2015-12-31 60 none none
2016-12-31 110 none none
2017-12-31 167 none none
2018-12-31 229 none none
2019-12-31 352 none none
2020-12-31 509 none none
2021-12-31 709 none none
2022-12-03 986 15 17
2022-12-05 986 15 17
2022-12-07 985 15 17
2022-12-09 986 15 17
2022-12-11 989 15 17
2022-12-13 989 15 17
2022-12-15 990 15 17
2022-12-17 990 15 17
2022-12-19 990 15 17
2022-12-21 990 15 17
2022-12-23 995 15 17
2022-12-25 996 15 17
2022-12-27 998 16 17
2022-12-29 998 16 17
2022-12-31 999 16 17
2023-01-01 999 16 17
2023-01-03 999 16 17
2023-01-05 999 16 17
2023-01-07 1000 16 17
2023-01-09 1000 16 17
2023-01-11 999 16 17
2023-01-13 999 16 17
2023-01-15 1001 16 17
2023-01-17 1006 16 17
2023-01-19 1007 16 17
2023-01-21 1007 16 17
2023-01-23 1021 16 18
2023-01-25 1021 16 18
2023-01-27 1029 16 18
2023-01-29 1034 16 18
2023-01-31 1035 16 18
2023-02-01 1035 16 18
2023-02-03 1036 16 18
2023-02-05 1037 16 18
2023-02-07 1038 16 18
2023-02-09 1038 16 18
2023-02-11 1039 16 18
2023-02-13 1039 16 18
2023-02-15 1041 16 18
2023-02-17 1040 16 18
2023-02-19 1043 16 18
2023-02-21 1045 16 18
2023-02-23 1045 16 18
2023-02-25 1045 16 18
2023-02-27 1045 16 18
2023-03-01 1046 16 18
2023-03-03 1046 16 18
2023-03-05 1046 16 18
2023-03-07 1051 16 18
2023-03-09 1051 16 18
2023-03-11 1051 16 18
2023-03-13 1051 16 18
2023-03-15 1055 16 18
2023-03-17 1056 16 18
2023-03-19 1056 16 18
2023-03-21 1059 16 18
2023-03-23 1059 16 18
2023-03-25 1062 16 18
2023-03-27 1062 16 18
2023-03-29 1067 16 18
2023-03-31 1070 16 18
2023-04-01 1071 16 18
2023-04-03 1071 16 18
2023-04-05 1076 16 18
2023-04-07 1075 16 18
2023-04-09 1075 16 18
2023-04-11 1075 16 18
2023-04-13 1075 16 18
2023-04-15 1083 16 18
2023-04-17 1083 16 18
2023-04-19 1084 16 18
2023-04-21 1084 16 18
2023-04-23 1085 16 18
2023-04-27 1094 16 18
2023-04-29 1094 16 18
2023-05-01 1094 16 18
2023-05-03 1097 16 18
2023-05-05 1097 16 18
2023-05-07 1099 16 18
2023-05-09 1099 16 18
2023-05-11 1103 16 18
2023-05-13 1103 16 18
2023-05-15 1103 16 18
2023-05-17 1103 16 18
2023-05-19 1103 16 18
2023-05-21 1103 16 18
2023-05-23 1103 16 18
2023-05-25 1105 17 18
2023-05-27 1110 17 18
2023-05-29 1110 17 18
2023-05-31 1125 17 19
2023-06-01 1125 17 19
2023-06-03 1127 17 19
2023-06-05 1127 17 19
2023-06-07 1127 17 19
2023-06-09 1127 17 19
2023-06-11 1129 17 19
2023-06-13 1129 17 19
2023-06-15 1130 17 19
2023-06-17 1130 17 19
2023-06-19 1130 17 19
2023-06-21 1130 17 19
2023-06-23 1132 17 19
2023-06-25 1132 17 19
2023-06-27 1134 17 19
2023-06-29 1134 17 19
2023-07-01 1134 17 19
2023-07-03 1114 16 19
2023-07-05 1114 16 19
2023-07-07 1116 16 19
2023-07-09 1117 16 19
2023-07-11 1122 16 19
2023-07-13 1126 16 19
2023-07-23 1137 16 19
2023-07-25 1143 16 19
2023-07-27 1146 16 19
2023-07-29 1146 16 19
2023-07-31 1148 16 19
2023-08-01 1149 16 19
2023-08-03 1148 16 19
2023-08-05 1155 16 19
