# Stephan Wäldchen, TU Berlin
# datestring citations hindex i10index
2017-12-31 3 none none
2018-12-31 7 none none
2019-12-31 72 none none
2020-12-31 241 none none
2021-09-11 408 4 2
2021-09-13 408 4 2
2021-09-15 409 4 2
2021-09-17 410 4 2
2021-09-19 412 4 2
2021-09-25 416 4 2
2021-09-27 417 4 2
2021-09-29 420 4 2
2021-10-01 420 4 2
2021-10-03 424 4 2
2021-10-05 424 4 2
2021-10-07 424 4 2
2021-10-09 425 4 2
2021-10-11 430 4 2
2021-10-13 432 4 2
2021-10-15 434 4 2
2021-10-17 437 4 2
2021-10-19 437 4 2
2021-10-21 440 4 2
2021-10-23 447 4 2
2021-10-25 447 4 2
2021-10-27 449 4 2
2021-10-29 449 4 2
2021-10-31 449 4 2
2021-11-01 449 4 2
2021-11-03 453 4 2
2021-11-05 456 4 2
2021-11-07 456 5 2
2021-11-09 456 5 2
2021-11-11 458 5 2
2021-11-13 461 5 2
2021-11-15 461 5 2
2021-11-17 467 5 2
2021-11-19 468 5 2
2021-11-21 470 5 2
2021-11-23 471 5 2
2021-11-25 471 5 2
2021-11-27 474 5 2
2021-11-29 474 5 2
2021-12-01 478 5 2
2021-12-03 479 5 2
2021-12-05 479 5 2
2021-12-07 485 5 2
2021-12-09 485 5 2
2021-12-11 486 5 2
2021-12-13 486 5 2
2021-12-15 488 5 2
2021-12-17 489 5 2
2021-12-19 491 5 2
2021-12-21 492 5 2
2021-12-23 493 5 2
2021-12-25 494 5 2
2021-12-27 494 5 2
2021-12-29 498 5 2
2021-12-31 500 5 2
2022-01-01 502 5 2
2022-01-03 502 5 2
2022-01-05 505 5 2
2022-01-07 505 5 2
2022-01-09 509 5 2
2022-01-11 513 5 3
2022-01-13 512 5 3
2022-01-15 513 5 3
2022-01-17 513 5 3
2022-01-19 521 5 3
2022-01-21 521 5 3
2022-01-23 520 5 3
2022-01-25 523 5 3
2022-01-27 522 5 3
2022-01-29 522 5 3
2022-01-31 522 5 3
2022-02-01 522 5 3
2022-02-03 522 5 3
2022-02-05 527 5 3
2022-02-07 530 5 3
2022-02-09 530 5 3
2022-02-11 530 5 3
2022-02-13 537 5 3
2022-02-15 544 5 4
2022-02-17 544 5 4
2022-02-19 547 5 4
2022-02-21 547 5 4
2022-02-23 550 5 4
2022-02-25 550 5 4
2022-02-27 551 5 4
2022-03-01 556 5 4
2022-03-03 557 5 4
2022-03-05 560 5 4
2022-03-07 560 5 4
2022-03-09 562 5 4
2022-03-11 562 5 4
2022-03-13 564 5 4
2022-03-15 566 5 4
2022-03-17 566 5 4
2022-03-19 568 6 4
2022-03-21 568 6 4
2022-03-23 571 6 5
2022-03-25 571 6 5
2022-03-27 573 6 5
2022-03-29 574 6 5
2022-03-31 574 6 5
2022-04-01 574 6 5
2022-04-03 577 6 5
2022-04-05 579 6 5
2022-04-07 579 6 5
2022-04-09 581 6 5
2022-04-11 581 6 5
2022-04-13 582 6 5
2022-04-15 582 6 5
2022-04-17 583 6 5
2022-04-19 587 6 5
2022-04-21 587 6 5
2022-04-23 591 6 5
2022-04-25 591 6 5
2022-04-27 599 6 5
2022-04-29 599 6 5
2022-05-01 600 6 5
2022-05-03 603 6 5
2022-05-05 607 6 5
2022-05-07 609 6 5
2022-05-09 609 6 5
2022-05-11 612 6 5
2022-05-13 615 6 5
2022-05-15 616 6 5
2022-05-17 617 6 5
2022-05-19 617 6 5
2022-05-21 616 6 5
2022-05-23 616 6 5
2022-05-25 619 6 5
2022-05-27 621 6 5
2022-05-29 626 6 5
2022-05-31 629 6 5
2022-06-01 629 6 5
2022-06-03 631 6 5
2022-06-05 633 6 5
2022-06-07 639 6 5
2022-06-09 640 6 5
2022-06-11 643 6 5
2022-06-13 643 6 5
2022-06-15 643 6 5
2022-06-17 662 6 5
2022-06-19 663 6 5
2022-06-21 665 6 5
2022-06-23 665 6 5
2022-06-25 665 6 5
2022-06-27 667 6 5
2022-06-29 670 6 5
2022-07-01 670 6 5
