# Stephan Wäldchen, TU Berlin
# datestring citations hindex i10index
2017-12-31 3 none none
2018-12-31 7 none none
2019-12-31 72 none none
2020-12-31 241 none none
2021-09-11 408 4 2
2021-09-13 408 4 2
2021-09-15 409 4 2
2021-09-17 410 4 2
2021-09-19 412 4 2
2021-09-25 416 4 2
2021-09-27 417 4 2
2021-09-29 420 4 2
2021-10-01 420 4 2
2021-10-03 424 4 2
2021-10-05 424 4 2
2021-10-07 424 4 2
2021-10-09 425 4 2
2021-10-11 430 4 2
2021-10-13 432 4 2
2021-10-15 434 4 2
2021-10-17 437 4 2
2021-10-19 437 4 2
2021-10-21 440 4 2
2021-10-23 447 4 2
2021-10-25 447 4 2
2021-10-27 449 4 2
2021-10-29 449 4 2
2021-10-31 449 4 2
2021-11-01 449 4 2
2021-11-03 453 4 2
2021-11-05 456 4 2
2021-11-07 456 5 2
2021-11-09 456 5 2
2021-11-11 458 5 2
2021-11-13 461 5 2
2021-11-15 461 5 2
2021-11-17 467 5 2
2021-11-19 468 5 2
2021-11-21 470 5 2
2021-11-23 471 5 2
2021-11-25 471 5 2
2021-11-27 474 5 2
2021-11-29 474 5 2
2021-12-01 478 5 2
2021-12-03 479 5 2
2021-12-05 479 5 2
2021-12-07 485 5 2
2021-12-09 485 5 2
2021-12-11 486 5 2
2021-12-13 486 5 2
2021-12-15 488 5 2
2021-12-17 489 5 2
2021-12-19 491 5 2
2021-12-21 492 5 2
2021-12-23 493 5 2
2021-12-25 494 5 2
2021-12-27 494 5 2
2021-12-29 498 5 2
2021-12-31 500 5 2
2022-01-01 502 5 2
2022-01-03 502 5 2
2022-01-05 505 5 2
2022-01-07 505 5 2
2022-01-09 509 5 2
2022-01-11 513 5 3
2022-01-13 512 5 3
2022-01-15 513 5 3
2022-01-17 513 5 3
2022-01-19 521 5 3
2022-01-21 521 5 3
2022-01-23 520 5 3
2022-01-25 523 5 3
2022-01-27 522 5 3
2022-01-29 522 5 3
2022-01-31 522 5 3
2022-02-01 522 5 3
2022-02-03 522 5 3
