# Veronica Witte, University of Leipzig Medical Center, Clinic of Cognitive Neurology, and MPI-CBS Leipzig
# datestring citations hindex i10index
2009-12-31 31 none none
2010-12-31 88 none none
2011-12-31 184 none none
2012-12-31 284 none none
2013-12-31 438 none none
2014-12-31 638 none none
2015-12-31 912 none none
2016-12-31 1251 none none
2017-12-31 1618 none none
2018-12-31 2088 none none
2019-12-31 2648 none none
2020-12-31 3373 none none
2021-12-31 4354 none none
2022-12-03 5671 38 74
2022-12-05 5671 38 74
2022-12-07 5680 38 74
2022-12-09 5690 38 74
2022-12-11 5699 38 74
2022-12-13 5699 38 74
2022-12-15 5732 38 74
2022-12-17 5737 38 74
2022-12-19 5737 38 74
2022-12-21 5757 38 74
2022-12-23 5761 38 74
2022-12-25 5767 38 74
2022-12-27 5772 38 74
2022-12-29 5780 38 74
2022-12-31 5785 38 74
2023-01-01 5785 38 74
2023-01-03 5802 38 75
2023-01-05 5832 38 75
2023-01-07 5842 38 75
2023-01-09 5842 38 75
2023-01-11 5857 38 75
2023-01-13 5859 38 75
2023-01-15 5877 38 75
2023-01-17 5890 38 75
2023-01-19 5906 38 75
2023-01-21 5906 38 75
2023-01-23 5909 38 75
2023-01-25 5909 38 75
2023-01-27 5867 38 74
2023-01-29 5890 38 74
2023-01-31 5896 38 74
2023-02-01 5896 38 74
2023-02-03 5902 38 74
2023-02-05 5916 38 74
2023-02-07 5931 38 74
2023-02-09 5938 38 74
2023-02-11 5947 38 75
2023-02-13 5947 38 75
2023-02-15 5964 38 76
2023-02-17 5968 38 76
2023-02-19 5978 38 76
2023-02-21 5984 38 76
2023-02-23 5994 38 76
2023-02-25 5999 38 76
2023-02-27 5999 38 76
2023-03-01 6017 38 77
2023-03-03 6032 38 77
2023-03-05 6042 38 77
2023-03-07 6054 38 77
2023-03-09 6066 38 77
2023-03-11 6075 38 77
2023-03-13 6075 38 77
2023-03-15 6094 38 77
2023-03-17 6107 38 77
2023-03-19 6129 38 77
2023-03-21 6142 38 77
2023-03-23 6154 38 77
2023-03-25 6165 38 77
2023-03-27 6165 38 77
2023-03-29 6175 38 77
2023-03-31 6184 38 77
2023-04-01 6194 38 78
2023-04-03 6194 38 78
2023-04-05 6210 38 78
2023-04-07 6223 38 78
2023-04-09 6230 38 78
2023-04-11 6238 38 78
2023-04-13 6245 38 78
2023-04-15 6256 38 78
2023-04-17 6256 38 78
2023-04-19 6269 38 78
2023-04-21 6281 38 78
2023-04-23 6287 38 78
2023-04-27 6304 38 78
2023-04-29 6320 38 78
2023-05-01 6320 38 78
2023-05-03 6336 39 78
2023-05-05 6343 39 78
2023-05-07 6350 39 78
2023-05-09 6350 39 78
2023-05-11 6379 39 78
2023-05-13 6385 39 78
2023-05-15 6385 39 78
2023-05-17 6392 39 78
2023-05-19 6400 39 78
2023-05-21 6405 39 78
2023-05-23 6417 39 78
2023-05-25 6419 39 78
2023-05-27 6429 39 78
2023-05-29 6429 39 78
2023-05-31 6441 39 78
2023-06-01 6442 39 78
2023-06-03 6456 39 78
2023-06-05 6456 39 78
2023-06-07 6479 39 78
2023-06-09 6490 39 78
2023-06-11 6501 39 78
2023-06-13 6511 40 78
2023-06-15 6524 40 78
2023-06-17 6527 40 78
2023-06-19 6527 40 78
2023-06-21 6546 40 78
2023-06-23 6553 40 78
2023-06-25 6571 40 78
2023-06-27 6594 40 79
2023-06-29 6594 40 79
2023-07-01 6594 40 79
2023-07-03 6619 40 79
2023-07-05 6620 40 79
2023-07-07 6627 40 79
2023-07-09 6640 40 79
2023-07-11 6653 40 80
2023-07-13 6659 40 80
2023-07-23 6696 40 81
2023-07-25 6696 40 81
2023-07-27 6711 40 81
2023-07-29 6717 41 81
2023-07-31 6731 41 81
2023-08-01 6762 41 82
2023-08-03 6767 41 82
2023-08-05 6767 41 82
2023-08-07 6777 41 83
2023-08-09 6787 41 83
